Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-04-16,18.54
29-04-16,11.59
28-04-16,8.52
27-04-16,7.10
26-04-16,4.42
25-04-16,6.65
24-04-16,4.01
23-04-16,10.16
22-04-16,14.48
21-04-16,16.62
20-04-16,9.66
19-04-16,12.93
18-04-16,13.65
17-04-16,7.94
16-04-16,5.53
15-04-16,13.26
14-04-16,19.12
13-04-16,13.35
12-04-16,20.24
11-04-16,15.97
10-04-16,12.44
09-04-16,14.82
08-04-16,11.30
07-04-16,7.35
06-04-16,9.99
05-04-16,21.79
04-04-16,24.89
03-04-16,
02-04-16,
01-04-16,

