Datum Zeit,Freiberg PM10
,µg/m³
30-04-16,20
29-04-16,14
28-04-16,9
27-04-16,9
26-04-16,6
25-04-16,9
24-04-16,7
23-04-16,17
22-04-16,17
21-04-16,27
20-04-16,18
19-04-16,18
18-04-16,14
17-04-16,10
16-04-16,8
15-04-16,16
14-04-16,28
13-04-16,12
12-04-16,27
11-04-16,25
10-04-16,14
09-04-16,23
08-04-16,15
07-04-16,9
06-04-16,11
05-04-16,38
04-04-16,37
03-04-16,23
02-04-16,17
01-04-16,12

