Datum Zeit,Collmberg PM2.5
,µg/m³
30-04-16,15.57
29-04-16,6.42
28-04-16,5.19
27-04-16,3.92
26-04-16,2.30
25-04-16,4.45
24-04-16,2.89
23-04-16,6.40
22-04-16,6.22
21-04-16,12.90
20-04-16,6.67
19-04-16,11.33
18-04-16,6.92
17-04-16,5.72
16-04-16,3.17
15-04-16,10.05
14-04-16,20.84
13-04-16,15.32
12-04-16,20.54
11-04-16,13.01
10-04-16,12.40
09-04-16,12.53
08-04-16,6.54
07-04-16,4.05
06-04-16,7.71
05-04-16,26.84
04-04-16,25.31
03-04-16,14.01
02-04-16,14.02
01-04-16,7.35

