Datum Zeit,Leipzig-Mitte PM10
,µg/m³
30-04-16,22
29-04-16,19
28-04-16,16
27-04-16,15
26-04-16,10
25-04-16,15
24-04-16,11
23-04-16,18
22-04-16,25
21-04-16,45
20-04-16,26
19-04-16,28
18-04-16,26
17-04-16,14
16-04-16,11
15-04-16,24
14-04-16,37
13-04-16,36
12-04-16,44
11-04-16,29
10-04-16,21
09-04-16,31
08-04-16,24
07-04-16,18
06-04-16,24
05-04-16,50
04-04-16,63
03-04-16,31
02-04-16,24
01-04-16,18

