Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-04-16,14.46
29-04-16,11.88
28-04-16,9.02
27-04-16,8.17
26-04-16,5.79
25-04-16,7.75
24-04-16,4.57
23-04-16,8.12
22-04-16,12.00
21-04-16,19.56
20-04-16,11.20
19-04-16,17.17
18-04-16,12.77
17-04-16,9.49
16-04-16,6.81
15-04-16,17.30
14-04-16,24.41
13-04-16,23.62
12-04-16,26.34
11-04-16,16.48
10-04-16,15.20
09-04-16,19.90
08-04-16,12.04
07-04-16,8.38
06-04-16,13.27
05-04-16,28.98
04-04-16,32.32
03-04-16,19.12
02-04-16,16.74
01-04-16,12.39

