Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-04-16,20.43
29-04-16,10.67
28-04-16,6.56
27-04-16,6.45
26-04-16,6.01
25-04-16,7.34
24-04-16,5.26
23-04-16,10.06
22-04-16,12.22
21-04-16,18.01
20-04-16,10.02
19-04-16,13.56
18-04-16,14.13
17-04-16,8.25
16-04-16,7.98
15-04-16,13.22
14-04-16,19.55
13-04-16,13.64
12-04-16,25.01
11-04-16,18.66
10-04-16,10.59
09-04-16,15.74
08-04-16,12.42
07-04-16,7.72
06-04-16,11.79
05-04-16,31.82
04-04-16,25.54
03-04-16,13.87
02-04-16,13.10
01-04-16,10.44

