Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-04-16,11.40
29-04-16,8.11
28-04-16,5.79
27-04-16,4.56
26-04-16,3.16
25-04-16,4.51
24-04-16,3.34
23-04-16,5.73
22-04-16,8.18
21-04-16,13.87
20-04-16,7.86
19-04-16,11.60
18-04-16,6.91
17-04-16,7.89
16-04-16,3.73
15-04-16,11.84
14-04-16,19.61
13-04-16,18.00
12-04-16,19.74
11-04-16,13.93
10-04-16,13.07
09-04-16,14.68
08-04-16,7.26
07-04-16,4.49
06-04-16,8.43
05-04-16,22.99
04-04-16,27.91
03-04-16,17.18
02-04-16,12.00
01-04-16,10.09

