Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-04-16,19.27
29-04-16,8.04
28-04-16,4.77
27-04-16,4.25
26-04-16,3.99
25-04-16,5.06
24-04-16,4.56
23-04-16,9.23
22-04-16,10.39
21-04-16,15.06
20-04-16,8.05
19-04-16,11.25
18-04-16,10.90
17-04-16,8.00
16-04-16,6.45
15-04-16,11.03
14-04-16,18.42
13-04-16,11.01
12-04-16,22.27
11-04-16,15.24
10-04-16,9.67
09-04-16,14.32
08-04-16,9.54
07-04-16,5.43
06-04-16,
05-04-16,27.09
04-04-16,21.92
03-04-16,13.56
02-04-16,11.90
01-04-16,8.71

