Datum Zeit,Borna NO2
,µg/m³
01-03-07 00:00,13
28-02-07 23:00,16
28-02-07 22:00,24
28-02-07 21:00,27
28-02-07 20:00,40
28-02-07 19:00,53
28-02-07 18:00,49
28-02-07 17:00,53
28-02-07 16:00,46
28-02-07 15:00,41
28-02-07 14:00,38
28-02-07 13:00,40
28-02-07 12:00,44
28-02-07 11:00,49
28-02-07 10:00,58
28-02-07 09:00,61
28-02-07 08:00,61
28-02-07 07:00,44
28-02-07 06:00,26
28-02-07 05:00,20
28-02-07 04:00,17
28-02-07 03:00,14
28-02-07 02:00,13
28-02-07 01:00,13
28-02-07 00:00,17
27-02-07 23:00,18
27-02-07 22:00,18
27-02-07 21:00,30
27-02-07 20:00,39
27-02-07 19:00,46
27-02-07 18:00,51
27-02-07 17:00,49
27-02-07 16:00,40
27-02-07 15:00,36
27-02-07 14:00,35
27-02-07 13:00,32
27-02-07 12:00,28
27-02-07 11:00,34
27-02-07 10:00,34
27-02-07 09:00,32
27-02-07 08:00,43
27-02-07 07:00,32
27-02-07 06:00,17
27-02-07 05:00,14
27-02-07 04:00,11
27-02-07 03:00,8
27-02-07 02:00,9
27-02-07 01:00,9
27-02-07 00:00,10
26-02-07 23:00,14
26-02-07 22:00,18
26-02-07 21:00,21
26-02-07 20:00,30
26-02-07 19:00,41
26-02-07 18:00,43
26-02-07 17:00,48
26-02-07 16:00,46
26-02-07 15:00,39
26-02-07 14:00,44
26-02-07 13:00,56
26-02-07 12:00,47
26-02-07 11:00,62
26-02-07 10:00,67
26-02-07 09:00,56
26-02-07 08:00,55
26-02-07 07:00,50
26-02-07 06:00,32
26-02-07 05:00,27
26-02-07 04:00,18
26-02-07 03:00,18
26-02-07 02:00,12
26-02-07 01:00,11
26-02-07 00:00,13
25-02-07 23:00,17
25-02-07 22:00,16
25-02-07 21:00,17
25-02-07 20:00,24
25-02-07 19:00,27
25-02-07 18:00,21
25-02-07 17:00,18
25-02-07 16:00,14
25-02-07 15:00,19
25-02-07 14:00,15
25-02-07 13:00,14
25-02-07 12:00,14
25-02-07 11:00,15
25-02-07 10:00,14
25-02-07 09:00,12
25-02-07 08:00,10
25-02-07 07:00,11
25-02-07 06:00,11
25-02-07 05:00,10
25-02-07 04:00,11
25-02-07 03:00,13
25-02-07 02:00,14
25-02-07 01:00,14
25-02-07 00:00,17
24-02-07 23:00,19
24-02-07 22:00,19
24-02-07 21:00,27
24-02-07 20:00,21
24-02-07 19:00,26
24-02-07 18:00,37
24-02-07 17:00,30
24-02-07 16:00,36
24-02-07 15:00,32
24-02-07 14:00,32
24-02-07 13:00,33
24-02-07 12:00,30
24-02-07 11:00,39
24-02-07 10:00,46
24-02-07 09:00,43
24-02-07 08:00,47
24-02-07 07:00,48
24-02-07 06:00,51
24-02-07 05:00,52
24-02-07 04:00,50
24-02-07 03:00,42
24-02-07 02:00,38
24-02-07 01:00,37
24-02-07 00:00,34
23-02-07 23:00,47
23-02-07 22:00,47
23-02-07 21:00,41
23-02-07 20:00,44
23-02-07 19:00,49
23-02-07 18:00,45
23-02-07 17:00,40
23-02-07 16:00,39
23-02-07 15:00,33
23-02-07 14:00,38
23-02-07 13:00,55
23-02-07 12:00,54
23-02-07 11:00,59
23-02-07 10:00,61
23-02-07 09:00,64
23-02-07 08:00,61
23-02-07 07:00,58
23-02-07 06:00,46
23-02-07 05:00,45
23-02-07 04:00,44
23-02-07 03:00,41
23-02-07 02:00,38
23-02-07 01:00,34
23-02-07 00:00,41
22-02-07 23:00,47
22-02-07 22:00,53
22-02-07 21:00,60
22-02-07 20:00,75
22-02-07 19:00,96
22-02-07 18:00,31
22-02-07 17:00,38
22-02-07 16:00,32
22-02-07 15:00,32
22-02-07 14:00,37
22-02-07 13:00,41
22-02-07 12:00,38
22-02-07 11:00,38
22-02-07 10:00,42
22-02-07 09:00,62
22-02-07 08:00,68
22-02-07 07:00,58
22-02-07 06:00,38
22-02-07 05:00,36
22-02-07 04:00,30
22-02-07 03:00,26
22-02-07 02:00,22
22-02-07 01:00,25
22-02-07 00:00,27
21-02-07 23:00,31
21-02-07 22:00,42
21-02-07 21:00,58
21-02-07 20:00,58
21-02-07 19:00,72
21-02-07 18:00,91
21-02-07 17:00,64
21-02-07 16:00,52
21-02-07 15:00,51
21-02-07 14:00,47
21-02-07 13:00,48
21-02-07 12:00,54
21-02-07 11:00,54
21-02-07 10:00,61
21-02-07 09:00,66
21-02-07 08:00,75
21-02-07 07:00,66
21-02-07 06:00,39
21-02-07 05:00,27
21-02-07 04:00,26
21-02-07 03:00,21
21-02-07 02:00,25
21-02-07 01:00,26
21-02-07 00:00,32
20-02-07 23:00,39
20-02-07 22:00,41
20-02-07 21:00,50
20-02-07 20:00,56
20-02-07 19:00,47
20-02-07 18:00,42
20-02-07 17:00,49
20-02-07 16:00,45
20-02-07 15:00,39
20-02-07 14:00,34
20-02-07 13:00,37
20-02-07 12:00,46
20-02-07 11:00,54
20-02-07 10:00,58
20-02-07 09:00,64
20-02-07 08:00,62
20-02-07 07:00,50
20-02-07 06:00,36
20-02-07 05:00,32
20-02-07 04:00,29
20-02-07 03:00,30
20-02-07 02:00,24
20-02-07 01:00,26
20-02-07 00:00,26
19-02-07 23:00,30
19-02-07 22:00,40
19-02-07 21:00,49
19-02-07 20:00,52
19-02-07 19:00,56
19-02-07 18:00,61
19-02-07 17:00,61
19-02-07 16:00,59
19-02-07 15:00,33
19-02-07 14:00,48
19-02-07 13:00,43
19-02-07 12:00,39
19-02-07 11:00,52
19-02-07 10:00,58
19-02-07 09:00,52
19-02-07 08:00,43
19-02-07 07:00,22
19-02-07 06:00,10
19-02-07 05:00,11
19-02-07 04:00,13
19-02-07 03:00,14
19-02-07 02:00,19
19-02-07 01:00,25
19-02-07 00:00,35
18-02-07 23:00,39
18-02-07 22:00,39
18-02-07 21:00,48
18-02-07 20:00,71
18-02-07 19:00,94
18-02-07 18:00,49
18-02-07 17:00,40
18-02-07 16:00,26
18-02-07 15:00,22
18-02-07 14:00,16
18-02-07 13:00,16
18-02-07 12:00,20
18-02-07 11:00,22
18-02-07 10:00,23
18-02-07 09:00,25
18-02-07 08:00,20
18-02-07 07:00,17
18-02-07 06:00,17
18-02-07 05:00,21
18-02-07 04:00,21
18-02-07 03:00,22
18-02-07 02:00,25
18-02-07 01:00,50
18-02-07 00:00,43
17-02-07 23:00,42
17-02-07 22:00,27
17-02-07 21:00,31
17-02-07 20:00,32
17-02-07 19:00,37
17-02-07 18:00,33
17-02-07 17:00,29
17-02-07 16:00,27
17-02-07 15:00,26
17-02-07 14:00,25
17-02-07 13:00,20
17-02-07 12:00,20
17-02-07 11:00,24
17-02-07 10:00,30
17-02-07 09:00,27
17-02-07 08:00,26
17-02-07 07:00,23
17-02-07 06:00,20
17-02-07 05:00,15
17-02-07 04:00,13
