Datum Zeit,Dresden-Winckelmannstr. PM10
,µg/m³
30-11-12,9
29-11-12,3
28-11-12,25
27-11-12,36
26-11-12,26
25-11-12,24
24-11-12,35
23-11-12,30
22-11-12,28
21-11-12,33
20-11-12,58
19-11-12,50
18-11-12,32
17-11-12,
16-11-12,
15-11-12,46
14-11-12,36
13-11-12,24
12-11-12,23
11-11-12,32
10-11-12,24
09-11-12,19
08-11-12,
07-11-12,6
06-11-12,10
05-11-12,6
04-11-12,7
03-11-12,5
02-11-12,10
01-11-12,22

