Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-11-12,9.99
29-11-12,3.90
28-11-12,23.45
27-11-12,34.96
26-11-12,20.66
25-11-12,18.84
24-11-12,29.21
23-11-12,25.46
22-11-12,21.02
21-11-12,26.42
20-11-12,46.46
19-11-12,40.94
18-11-12,26.81
17-11-12,29.72
16-11-12,39.23
15-11-12,37.94
14-11-12,31.26
13-11-12,23.06
12-11-12,20.81
11-11-12,29.18
10-11-12,20.55
09-11-12,17.95
08-11-12,14.02
07-11-12,6.95
06-11-12,10.83
05-11-12,7.72
04-11-12,7.44
03-11-12,6.60
02-11-12,13.11
01-11-12,20.20

