Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-11-12,8.04
29-11-12,
28-11-12,20.89
27-11-12,27.81
26-11-12,21.02
25-11-12,20.22
24-11-12,26.60
23-11-12,21.11
22-11-12,18.30
21-11-12,27.18
20-11-12,41.17
19-11-12,37.59
18-11-12,27.27
17-11-12,30.83
16-11-12,38.81
15-11-12,37.16
14-11-12,29.78
13-11-12,17.85
12-11-12,17.89
11-11-12,30.22
10-11-12,20.45
09-11-12,14.15
08-11-12,10.32
07-11-12,4.74
06-11-12,7.83
05-11-12,4.00
04-11-12,6.36
03-11-12,3.59
02-11-12,7.96
01-11-12,18.88

