Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-11-12,11.17
29-11-12,4.20
28-11-12,11.37
27-11-12,21.94
26-11-12,16.04
25-11-12,12.22
24-11-12,24.01
23-11-12,22.69
22-11-12,24.66
21-11-12,19.23
20-11-12,27.29
19-11-12,26.21
18-11-12,21.52
17-11-12,38.43
16-11-12,36.10
15-11-12,30.43
14-11-12,29.82
13-11-12,25.44
12-11-12,23.06
11-11-12,19.14
10-11-12,16.63
09-11-12,17.15
08-11-12,11.75
07-11-12,5.92
06-11-12,9.87
05-11-12,6.41
04-11-12,3.97
03-11-12,4.45
02-11-12,6.70
01-11-12,19.69

