Datum Zeit,Collmberg PM2.5
,µg/m³
30-11-12,3.28
29-11-12,1.27
28-11-12,3.52
27-11-12,9.81
26-11-12,7.47
25-11-12,11.32
24-11-12,19.59
23-11-12,12.72
22-11-12,11.57
21-11-12,23.93
20-11-12,22.07
19-11-12,11.17
18-11-12,15.71
17-11-12,23.41
16-11-12,22.24
15-11-12,27.13
14-11-12,31.33
13-11-12,16.20
12-11-12,13.33
11-11-12,10.41
10-11-12,17.66
09-11-12,10.90
08-11-12,8.59
07-11-12,3.80
06-11-12,6.84
05-11-12,3.70
04-11-12,3.42
03-11-12,1.74
02-11-12,3.00
01-11-12,14.64

