Datum Zeit,Zwickau-Werdauer Straße PM10
,µg/m³
30-11-12,14
29-11-12,3
28-11-12,16
27-11-12,31
26-11-12,24
25-11-12,17
24-11-12,38
23-11-12,24
22-11-12,33
21-11-12,26
20-11-12,46
19-11-12,31
18-11-12,22
17-11-12,37
16-11-12,44
15-11-12,44
14-11-12,43
13-11-12,31
12-11-12,29
11-11-12,17
10-11-12,24
09-11-12,23
08-11-12,16
07-11-12,7
06-11-12,11
05-11-12,8
04-11-12,5
03-11-12,4
02-11-12,9
01-11-12,23

