Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-11-12,7.18
29-11-12,4.51
28-11-12,9.37
27-11-12,12.28
26-11-12,7.75
25-11-12,11.66
24-11-12,23.27
23-11-12,14.68
22-11-12,13.44
21-11-12,18.87
20-11-12,20.71
19-11-12,18.37
18-11-12,18.67
17-11-12,19.26
16-11-12,26.80
15-11-12,22.90
14-11-12,31.77
13-11-12,17.66
12-11-12,16.41
11-11-12,13.77
10-11-12,15.02
09-11-12,12.09
08-11-12,9.07
07-11-12,4.71
06-11-12,6.71
05-11-12,4.67
04-11-12,3.77
03-11-12,3.01
02-11-12,4.05
01-11-12,19.17

