Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
30-11-12,12.26
29-11-12,7.31
28-11-12,13.39
27-11-12,19.39
26-11-12,11.76
25-11-12,14.47
24-11-12,28.30
23-11-12,20.96
22-11-12,19.50
21-11-12,24.04
20-11-12,27.77
19-11-12,21.21
18-11-12,21.34
17-11-12,24.90
16-11-12,31.13
15-11-12,27.84
14-11-12,39.34
13-11-12,20.52
12-11-12,22.27
11-11-12,16.71
10-11-12,17.47
09-11-12,16.90
08-11-12,13.05
07-11-12,8.63
06-11-12,11.13
05-11-12,8.36
04-11-12,5.93
03-11-12,6.20
02-11-12,7.64
01-11-12,24.57

