Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
30-11-12,7.06
29-11-12,2.44
28-11-12,10.15
27-11-12,16.80
26-11-12,
25-11-12,10.67
24-11-12,20.63
23-11-12,23.12
22-11-12,20.55
21-11-12,18.88
20-11-12,15.10
19-11-12,18.03
18-11-12,26.93
17-11-12,16.91
16-11-12,18.31
15-11-12,22.41
14-11-12,21.69
13-11-12,22.29
12-11-12,20.77
11-11-12,19.15
10-11-12,16.80
09-11-12,
08-11-12,
07-11-12,6.42
06-11-12,7.27
05-11-12,4.64
04-11-12,4.92
03-11-12,2.88
02-11-12,5.90
01-11-12,20.96

