Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-04-11,24.96
29-04-11,29.25
28-04-11,24.35
27-04-11,18.01
26-04-11,25.19
25-04-11,26.85
24-04-11,22.34
23-04-11,28.36
22-04-11,25.14
21-04-11,20.92
20-04-11,19.81
19-04-11,22.74
18-04-11,20.20
17-04-11,20.22
16-04-11,19.02
15-04-11,11.51
14-04-11,6.61
13-04-11,4.79
12-04-11,12.19
11-04-11,9.60
10-04-11,7.07
09-04-11,10.02
08-04-11,8.45
07-04-11,12.10
06-04-11,17.31
05-04-11,15.08
04-04-11,10.39
03-04-11,16.94
02-04-11,16.68
01-04-11,11.38

