Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-04-11,24.04
29-04-11,28.97
28-04-11,27.43
27-04-11,24.64
26-04-11,27.11
25-04-11,28.16
24-04-11,27.14
23-04-11,31.13
22-04-11,25.50
21-04-11,32.57
20-04-11,31.37
19-04-11,33.30
18-04-11,27.67
17-04-11,22.36
16-04-11,21.74
15-04-11,13.74
14-04-11,10.38
13-04-11,10.68
12-04-11,14.83
11-04-11,16.87
10-04-11,14.76
09-04-11,12.16
08-04-11,10.02
07-04-11,16.32
06-04-11,20.24
05-04-11,16.76
04-04-11,
03-04-11,14.10
02-04-11,12.53
01-04-11,11.28

