Datum Zeit,Collmberg PM2.5
,µg/m³
30-04-11,15.56
29-04-11,32.51
28-04-11,21.65
27-04-11,16.23
26-04-11,20.36
25-04-11,21.66
24-04-11,21.27
23-04-11,26.45
22-04-11,22.54
21-04-11,21.56
20-04-11,21.71
19-04-11,22.33
18-04-11,16.46
17-04-11,11.20
16-04-11,9.96
15-04-11,5.71
14-04-11,4.33
13-04-11,5.75
12-04-11,
11-04-11,8.07
10-04-11,6.88
09-04-11,8.39
08-04-11,5.76
07-04-11,10.17
06-04-11,17.45
05-04-11,10.23
04-04-11,5.49
03-04-11,10.07
02-04-11,11.47
01-04-11,9.29

