Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-04-11,13.78
29-04-11,27.48
28-04-11,20.93
27-04-11,18.29
26-04-11,22.65
25-04-11,22.08
24-04-11,23.76
23-04-11,27.55
22-04-11,29.91
21-04-11,33.90
20-04-11,27.50
19-04-11,26.34
18-04-11,20.00
17-04-11,17.89
16-04-11,11.95
15-04-11,9.50
14-04-11,6.07
13-04-11,5.36
12-04-11,9.94
11-04-11,10.00
10-04-11,9.38
09-04-11,10.01
08-04-11,6.60
07-04-11,12.34
06-04-11,18.90
05-04-11,12.94
04-04-11,10.94
03-04-11,13.08
02-04-11,13.70
01-04-11,10.73

