Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
30-04-11,27.74
29-04-11,31.02
28-04-11,28.97
27-04-11,23.59
26-04-11,28.43
25-04-11,26.09
24-04-11,22.51
23-04-11,27.92
22-04-11,26.20
21-04-11,26.59
20-04-11,22.53
19-04-11,26.17
18-04-11,24.42
17-04-11,21.14
16-04-11,20.79
15-04-11,17.15
14-04-11,8.47
13-04-11,5.72
12-04-11,13.18
11-04-11,14.33
10-04-11,7.63
09-04-11,10.45
08-04-11,11.26
07-04-11,15.49
06-04-11,25.38
05-04-11,20.42
04-04-11,
03-04-11,18.87
02-04-11,18.55
01-04-11,13.60

