Datum Zeit,Freiberg CO
,mg/m3
01-01-04 00:00,0.4
31-12-03 23:00,0.4
31-12-03 22:00,0.5
31-12-03 21:00,0.5
31-12-03 20:00,0.5
31-12-03 19:00,0.5
31-12-03 18:00,0.6
31-12-03 17:00,0.7
31-12-03 16:00,0.7
31-12-03 15:00,0.7
31-12-03 14:00,0.8
31-12-03 13:00,1.0
31-12-03 12:00,1.0
31-12-03 11:00,0.9
31-12-03 10:00,0.7
31-12-03 09:00,0.6
31-12-03 08:00,0.5
31-12-03 07:00,0.5
31-12-03 06:00,0.5
31-12-03 05:00,0.5
31-12-03 04:00,0.5
31-12-03 03:00,0.5
31-12-03 02:00,0.6
31-12-03 01:00,0.5
31-12-03 00:00,0.5
30-12-03 23:00,0.6
30-12-03 22:00,0.7
30-12-03 21:00,0.7
30-12-03 20:00,0.9
30-12-03 19:00,1.1
30-12-03 18:00,1.1
30-12-03 17:00,1.2
30-12-03 16:00,1.3
30-12-03 15:00,1.3
30-12-03 14:00,1.0
30-12-03 13:00,0.9
30-12-03 12:00,1.0
30-12-03 11:00,1.2
30-12-03 10:00,0.8
30-12-03 09:00,0.8
30-12-03 08:00,0.9
30-12-03 07:00,1.0
30-12-03 06:00,0.9
30-12-03 05:00,0.6
30-12-03 04:00,0.6
30-12-03 03:00,0.5
30-12-03 02:00,0.6
30-12-03 01:00,0.7
30-12-03 00:00,0.6
29-12-03 23:00,0.8
29-12-03 22:00,1.0
29-12-03 21:00,0.8
29-12-03 20:00,0.9
29-12-03 19:00,2.1
29-12-03 18:00,1.9
29-12-03 17:00,1.2
29-12-03 16:00,1.0
29-12-03 15:00,1.3
29-12-03 14:00,0.9
29-12-03 13:00,1.0
29-12-03 12:00,1.3
29-12-03 11:00,1.2
29-12-03 10:00,0.8
29-12-03 09:00,0.6
29-12-03 08:00,0.6
29-12-03 07:00,0.5
29-12-03 06:00,0.3
29-12-03 05:00,0.3
29-12-03 04:00,0.3
29-12-03 03:00,0.2
29-12-03 02:00,0.3
29-12-03 01:00,0.4
29-12-03 00:00,0.4
28-12-03 23:00,0.6
28-12-03 22:00,0.6
28-12-03 21:00,0.6
28-12-03 20:00,0.6
28-12-03 19:00,0.7
28-12-03 18:00,0.7
28-12-03 17:00,0.7
28-12-03 16:00,0.7
28-12-03 15:00,0.8
28-12-03 14:00,0.6
28-12-03 13:00,0.6
28-12-03 12:00,0.7
28-12-03 11:00,0.4
28-12-03 10:00,0.4
28-12-03 09:00,0.4
28-12-03 08:00,0.4
28-12-03 07:00,0.4
28-12-03 06:00,0.4
28-12-03 05:00,0.4
28-12-03 04:00,0.4
28-12-03 03:00,0.4
28-12-03 02:00,0.4
28-12-03 01:00,0.5
28-12-03 00:00,0.6
27-12-03 23:00,0.7
27-12-03 22:00,0.6
27-12-03 21:00,0.7
27-12-03 20:00,0.8
27-12-03 19:00,0.6
27-12-03 18:00,0.6
27-12-03 17:00,0.6
