Datum Zeit,Annaberg-Buchholz PM10
,µg/m³
30-04-17,
29-04-17,
28-04-17,
27-04-17,
26-04-17,
25-04-17,
24-04-17,
23-04-17,5
22-04-17,12
21-04-17,20
20-04-17,12
19-04-17,10
18-04-17,6
17-04-17,6
16-04-17,7
15-04-17,12
14-04-17,14
13-04-17,11
12-04-17,12
11-04-17,8
10-04-17,20
09-04-17,18
08-04-17,18
07-04-17,12
06-04-17,11
05-04-17,18
04-04-17,15
03-04-17,23
02-04-17,18
01-04-17,24

