Datum Zeit,Plauen-Sued O3
,µg/m³
01-11-02 00:00,14
31-10-02 23:00,8
31-10-02 22:00,1
31-10-02 21:00,1
31-10-02 20:00,1
31-10-02 19:00,3
31-10-02 18:00,10
31-10-02 17:00,20
31-10-02 16:00,27
31-10-02 15:00,36
31-10-02 14:00,40
31-10-02 13:00,47
31-10-02 12:00,42
31-10-02 11:00,39
31-10-02 10:00,5
31-10-02 09:00,1
31-10-02 08:00,1
31-10-02 07:00,1
31-10-02 06:00,1
31-10-02 05:00,1
31-10-02 04:00,1
31-10-02 03:00,1
31-10-02 02:00,1
31-10-02 01:00,1
31-10-02 00:00,1
30-10-02 23:00,1
30-10-02 22:00,1
30-10-02 21:00,1
30-10-02 20:00,2
30-10-02 19:00,1
30-10-02 18:00,2
30-10-02 17:00,8
30-10-02 16:00,15
30-10-02 15:00,32
30-10-02 14:00,15
30-10-02 13:00,20
30-10-02 12:00,10
30-10-02 11:00,9
30-10-02 10:00,7
30-10-02 09:00,1
30-10-02 08:00,1
30-10-02 07:00,4
30-10-02 06:00,5
30-10-02 05:00,20
30-10-02 04:00,30
30-10-02 03:00,38
30-10-02 02:00,42
30-10-02 01:00,51
30-10-02 00:00,51
29-10-02 23:00,45
29-10-02 22:00,31
29-10-02 21:00,44
29-10-02 20:00,38
29-10-02 19:00,25
29-10-02 18:00,19
29-10-02 17:00,26
29-10-02 16:00,31
29-10-02 15:00,26
29-10-02 14:00,38
29-10-02 13:00,43
29-10-02 12:00,49
29-10-02 11:00,28
29-10-02 10:00,16
29-10-02 09:00,6
29-10-02 08:00,2
29-10-02 07:00,3
29-10-02 06:00,2
29-10-02 05:00,8
29-10-02 04:00,12
29-10-02 03:00,20
29-10-02 02:00,18
29-10-02 01:00,22
29-10-02 00:00,34
28-10-02 23:00,29
28-10-02 22:00,37
28-10-02 21:00,47
28-10-02 20:00,41
28-10-02 19:00,31
28-10-02 18:00,32
28-10-02 17:00,44
28-10-02 16:00,64
28-10-02 15:00,68
28-10-02 14:00,66
28-10-02 13:00,65
28-10-02 12:00,59
28-10-02 11:00,61
28-10-02 10:00,57
28-10-02 09:00,51
28-10-02 08:00,50
28-10-02 07:00,55
28-10-02 06:00,60
28-10-02 05:00,65
28-10-02 04:00,77
28-10-02 03:00,73
28-10-02 02:00,74
28-10-02 01:00,72
28-10-02 00:00,76
27-10-02 23:00,80
27-10-02 22:00,85
27-10-02 21:00,85
27-10-02 20:00,84
27-10-02 19:00,81
27-10-02 18:00,72
27-10-02 17:00,68
27-10-02 16:00,66
27-10-02 15:00,58
27-10-02 14:00,56
27-10-02 13:00,58
27-10-02 12:00,54
27-10-02 11:00,55
27-10-02 10:00,50
27-10-02 09:00,47
27-10-02 08:00,48
27-10-02 07:00,51
27-10-02 06:00,54
27-10-02 05:00,53
27-10-02 04:00,48
27-10-02 03:00,43
27-10-02 02:00,42
27-10-02 01:00,54
27-10-02 00:00,57
26-10-02 23:00,42
26-10-02 22:00,39
26-10-02 21:00,42
26-10-02 20:00,51
26-10-02 19:00,73
26-10-02 18:00,63
26-10-02 17:00,65
26-10-02 16:00,69
26-10-02 15:00,73
26-10-02 14:00,70
26-10-02 13:00,69
26-10-02 12:00,65
26-10-02 11:00,62
26-10-02 10:00,65
26-10-02 09:00,70
26-10-02 08:00,74
26-10-02 07:00,73
26-10-02 06:00,82
26-10-02 05:00,78
26-10-02 04:00,74
26-10-02 03:00,83
26-10-02 02:00,83
26-10-02 01:00,80
26-10-02 00:00,65
25-10-02 23:00,59
25-10-02 22:00,46
25-10-02 21:00,48
25-10-02 20:00,36
25-10-02 19:00,20
25-10-02 18:00,12
25-10-02 17:00,9
25-10-02 16:00,12
25-10-02 15:00,14
25-10-02 14:00,23
25-10-02 13:00,29
25-10-02 12:00,33
25-10-02 11:00,33
25-10-02 10:00,38
25-10-02 09:00,35
25-10-02 08:00,35
25-10-02 07:00,30
25-10-02 06:00,27
25-10-02 05:00,26
25-10-02 04:00,28
25-10-02 03:00,32
25-10-02 02:00,31
25-10-02 01:00,30
25-10-02 00:00,7
24-10-02 23:00,3
24-10-02 22:00,2
24-10-02 21:00,1
24-10-02 20:00,1
24-10-02 19:00,1
24-10-02 18:00,2
24-10-02 17:00,16
24-10-02 16:00,51
24-10-02 15:00,59
24-10-02 14:00,59
24-10-02 13:00,59
24-10-02 12:00,49
24-10-02 11:00,32
24-10-02 10:00,46
24-10-02 09:00,36
24-10-02 08:00,27
24-10-02 07:00,9
24-10-02 06:00,7
24-10-02 05:00,13
24-10-02 04:00,20
24-10-02 03:00,28
24-10-02 02:00,19
24-10-02 01:00,34
24-10-02 00:00,55
23-10-02 23:00,36
23-10-02 22:00,38
23-10-02 21:00,36
23-10-02 20:00,10
23-10-02 19:00,38
23-10-02 18:00,37
23-10-02 17:00,50
23-10-02 16:00,57
23-10-02 15:00,56
23-10-02 14:00,59
23-10-02 13:00,54
23-10-02 12:00,55
23-10-02 11:00,59
23-10-02 10:00,38
23-10-02 09:00,47
23-10-02 08:00,45
23-10-02 07:00,47
23-10-02 06:00,51
23-10-02 05:00,54
23-10-02 04:00,53
23-10-02 03:00,42
23-10-02 02:00,39
23-10-02 01:00,45
23-10-02 00:00,45
22-10-02 23:00,39
22-10-02 22:00,29
22-10-02 21:00,39
22-10-02 20:00,34
22-10-02 19:00,28
22-10-02 18:00,17
22-10-02 17:00,20
22-10-02 16:00,40
22-10-02 15:00,37
22-10-02 14:00,37
22-10-02 13:00,35
22-10-02 12:00,17
22-10-02 11:00,33
22-10-02 10:00,34
22-10-02 09:00,20
22-10-02 08:00,12
22-10-02 07:00,11
22-10-02 06:00,5
22-10-02 05:00,6
22-10-02 04:00,8
22-10-02 03:00,13
22-10-02 02:00,16
22-10-02 01:00,21
22-10-02 00:00,22
21-10-02 23:00,26
21-10-02 22:00,16
21-10-02 21:00,24
21-10-02 20:00,24
21-10-02 19:00,19
