Datum Zeit,Borna PM10
,µg/m³
31-10-02,35
30-10-02,44
29-10-02,
28-10-02,
27-10-02,
26-10-02,
25-10-02,15
24-10-02,17
23-10-02,11
22-10-02,20
21-10-02,23
20-10-02,13
19-10-02,9
18-10-02,16
17-10-02,15
16-10-02,17
15-10-02,21
14-10-02,21
13-10-02,18
12-10-02,23
11-10-02,24
10-10-02,26
09-10-02,16
08-10-02,11
07-10-02,14
06-10-02,4
05-10-02,12
04-10-02,13
03-10-02,33
02-10-02,37
01-10-02,27

