Datum Zeit,Schwartenberg SO2
,µg/m³
01-11-00 00:00,
31-10-00 23:00,
31-10-00 22:00,
31-10-00 21:00,
31-10-00 20:00,
31-10-00 19:00,
31-10-00 18:00,
31-10-00 17:00,
31-10-00 16:00,
31-10-00 15:00,
31-10-00 14:00,
31-10-00 13:00,
31-10-00 12:00,
31-10-00 11:00,
31-10-00 10:00,
31-10-00 09:00,
31-10-00 08:00,
31-10-00 07:00,
31-10-00 06:00,
31-10-00 05:00,
31-10-00 04:00,
31-10-00 03:00,
31-10-00 02:00,32.7
31-10-00 01:00,42.3
31-10-00 00:00,
30-10-00 23:00,28.2
30-10-00 22:00,30.6
30-10-00 21:00,31.3
30-10-00 20:00,32.5
30-10-00 19:00,53.3
30-10-00 18:00,36.7
30-10-00 17:00,12.5
30-10-00 16:00,2.7
30-10-00 15:00,1.3
30-10-00 14:00,2.8
30-10-00 13:00,13.5
30-10-00 12:00,11.7
30-10-00 11:00,12.3
30-10-00 10:00,13.0
30-10-00 09:00,14.3
30-10-00 08:00,14.4
30-10-00 07:00,18.2
30-10-00 06:00,12.7
30-10-00 05:00,6.9
30-10-00 04:00,
30-10-00 03:00,6.7
30-10-00 02:00,6.8
30-10-00 01:00,5.5
30-10-00 00:00,
29-10-00 23:00,6.5
29-10-00 22:00,3.1
29-10-00 21:00,1.0
29-10-00 20:00,1.7
29-10-00 19:00,1.0
29-10-00 18:00,1.0
29-10-00 17:00,2.5
29-10-00 16:00,1.0
29-10-00 15:00,1.8
29-10-00 14:00,4.3
29-10-00 13:00,9.7
29-10-00 12:00,10.6
29-10-00 11:00,4.5
29-10-00 10:00,1.0
29-10-00 09:00,1.0
29-10-00 08:00,5.4
29-10-00 07:00,7.5
29-10-00 06:00,8.2
29-10-00 05:00,11.3
29-10-00 04:00,
29-10-00 03:00,29.7
29-10-00 02:00,20.1
29-10-00 01:00,34.7
29-10-00 00:00,
28-10-00 23:00,31.7
28-10-00 22:00,26.9
28-10-00 21:00,16.0
28-10-00 20:00,19.2
28-10-00 19:00,19.0
28-10-00 18:00,22.8
28-10-00 17:00,26.2
28-10-00 16:00,24.7
28-10-00 15:00,15.1
28-10-00 14:00,11.0
