Datum Zeit,Borna O3
,µg/m³
01-11-00 00:00,47
31-10-00 23:00,43
31-10-00 22:00,
31-10-00 21:00,45
31-10-00 20:00,47
31-10-00 19:00,46
31-10-00 18:00,50
31-10-00 17:00,53
31-10-00 16:00,50
31-10-00 15:00,52
31-10-00 14:00,54
31-10-00 13:00,54
31-10-00 12:00,46
31-10-00 11:00,46
31-10-00 10:00,34
31-10-00 09:00,31
31-10-00 08:00,44
31-10-00 07:00,59
31-10-00 06:00,60
31-10-00 05:00,60
31-10-00 04:00,47
31-10-00 03:00,41
31-10-00 02:00,40
31-10-00 01:00,43
31-10-00 00:00,50
30-10-00 23:00,51
30-10-00 22:00,
30-10-00 21:00,58
30-10-00 20:00,56
30-10-00 19:00,47
30-10-00 18:00,38
30-10-00 17:00,38
30-10-00 16:00,37
30-10-00 15:00,29
30-10-00 14:00,34
30-10-00 13:00,31
30-10-00 12:00,30
30-10-00 11:00,31
30-10-00 10:00,26
30-10-00 09:00,31
30-10-00 08:00,30
30-10-00 07:00,35
30-10-00 06:00,41
30-10-00 05:00,43
30-10-00 04:00,54
30-10-00 03:00,53
30-10-00 02:00,53
30-10-00 01:00,49
30-10-00 00:00,50
29-10-00 23:00,
29-10-00 22:00,43
29-10-00 21:00,46
29-10-00 20:00,46
29-10-00 19:00,41
29-10-00 18:00,44
29-10-00 17:00,45
29-10-00 16:00,55
29-10-00 15:00,55
29-10-00 14:00,59
29-10-00 13:00,58
29-10-00 12:00,43
29-10-00 11:00,38
29-10-00 10:00,37
29-10-00 09:00,37
29-10-00 08:00,31
29-10-00 07:00,36
29-10-00 06:00,38
29-10-00 05:00,40
29-10-00 04:00,41
29-10-00 03:00,40
29-10-00 02:00,37
29-10-00 01:00,8
29-10-00 00:00,5
28-10-00 23:00,
28-10-00 22:00,1
28-10-00 21:00,2
28-10-00 20:00,6
28-10-00 19:00,4
28-10-00 18:00,9
28-10-00 17:00,14
28-10-00 16:00,16
28-10-00 15:00,25
28-10-00 14:00,29
28-10-00 13:00,25
28-10-00 12:00,21
28-10-00 11:00,16
28-10-00 10:00,15
28-10-00 09:00,14
28-10-00 08:00,16
28-10-00 07:00,17
28-10-00 06:00,18
28-10-00 05:00,22
28-10-00 04:00,26
28-10-00 03:00,36
28-10-00 02:00,37
28-10-00 01:00,30
28-10-00 00:00,
27-10-00 23:00,32
27-10-00 22:00,20
27-10-00 21:00,17
27-10-00 20:00,12
27-10-00 19:00,14
27-10-00 18:00,17
27-10-00 17:00,13
27-10-00 16:00,16
27-10-00 15:00,15
27-10-00 14:00,21
27-10-00 13:00,19
27-10-00 12:00,19
27-10-00 11:00,22
27-10-00 10:00,18
27-10-00 09:00,9
27-10-00 08:00,7
27-10-00 07:00,6
27-10-00 06:00,8
27-10-00 05:00,22
27-10-00 04:00,20
27-10-00 03:00,35
27-10-00 02:00,34
27-10-00 01:00,32
27-10-00 00:00,
26-10-00 23:00,40
26-10-00 22:00,38
26-10-00 21:00,33
26-10-00 20:00,42
26-10-00 19:00,36
26-10-00 18:00,29
26-10-00 17:00,28
26-10-00 16:00,30
26-10-00 15:00,38
26-10-00 14:00,31
26-10-00 13:00,30
26-10-00 12:00,43
26-10-00 11:00,56
26-10-00 10:00,20
26-10-00 09:00,10
26-10-00 08:00,14
26-10-00 07:00,8
26-10-00 06:00,16
26-10-00 05:00,26
26-10-00 04:00,31
26-10-00 03:00,43
26-10-00 02:00,53
26-10-00 01:00,
26-10-00 00:00,45
25-10-00 23:00,50
25-10-00 22:00,52
25-10-00 21:00,64
25-10-00 20:00,34
25-10-00 19:00,33
25-10-00 18:00,23
25-10-00 17:00,23
25-10-00 16:00,28
25-10-00 15:00,35
25-10-00 14:00,34
25-10-00 13:00,26
25-10-00 12:00,29
25-10-00 11:00,21
25-10-00 10:00,14
25-10-00 09:00,7
25-10-00 08:00,7
25-10-00 07:00,8
25-10-00 06:00,10
25-10-00 05:00,13
25-10-00 04:00,22
25-10-00 03:00,28
25-10-00 02:00,31
25-10-00 01:00,
25-10-00 00:00,28
24-10-00 23:00,24
24-10-00 22:00,21
24-10-00 21:00,25
24-10-00 20:00,25
24-10-00 19:00,21
24-10-00 18:00,18
24-10-00 17:00,33
24-10-00 16:00,35
24-10-00 15:00,40
24-10-00 14:00,45
24-10-00 13:00,47
24-10-00 12:00,42
24-10-00 11:00,23
24-10-00 10:00,12
24-10-00 09:00,8
24-10-00 08:00,5
24-10-00 07:00,4
24-10-00 06:00,4
24-10-00 05:00,7
24-10-00 04:00,14
24-10-00 03:00,22
24-10-00 02:00,
