Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
30-06-09,12.56
29-06-09,10.52
28-06-09,10.33
27-06-09,11.23
26-06-09,11.89
25-06-09,10.97
24-06-09,8.62
23-06-09,2.29
22-06-09,5.38
21-06-09,6.37
20-06-09,7.04
19-06-09,9.57
18-06-09,9.94
17-06-09,8.36
16-06-09,6.46
15-06-09,11.41
14-06-09,6.82
13-06-09,5.37
12-06-09,4.69
11-06-09,4.55
10-06-09,4.64
09-06-09,5.81
08-06-09,5.41
07-06-09,6.99
06-06-09,9.53
05-06-09,5.28
04-06-09,5.98
03-06-09,7.25
02-06-09,10.14
01-06-09,8.52

