Datum Zeit,Bautzen O3
,µg/m³
01-08-05 00:00,66
31-07-05 23:00,65
31-07-05 22:00,60
31-07-05 21:00,67
31-07-05 20:00,76
31-07-05 19:00,87
31-07-05 18:00,94
31-07-05 17:00,96
31-07-05 16:00,104
31-07-05 15:00,93
31-07-05 14:00,88
31-07-05 13:00,86
31-07-05 12:00,88
31-07-05 11:00,89
31-07-05 10:00,77
31-07-05 09:00,67
31-07-05 08:00,62
31-07-05 07:00,48
31-07-05 06:00,55
31-07-05 05:00,
31-07-05 04:00,
31-07-05 03:00,
31-07-05 02:00,
31-07-05 01:00,
31-07-05 00:00,
30-07-05 23:00,
30-07-05 22:00,
30-07-05 21:00,
30-07-05 20:00,
30-07-05 19:00,
30-07-05 18:00,
30-07-05 17:00,
30-07-05 16:00,
30-07-05 15:00,
30-07-05 14:00,
30-07-05 13:00,
30-07-05 12:00,
30-07-05 11:00,
30-07-05 10:00,
30-07-05 09:00,
30-07-05 08:00,
30-07-05 07:00,
30-07-05 06:00,
30-07-05 05:00,91
30-07-05 04:00,91
30-07-05 03:00,86
30-07-05 02:00,90
30-07-05 01:00,98
30-07-05 00:00,96
29-07-05 23:00,95
29-07-05 22:00,100
29-07-05 21:00,99
29-07-05 20:00,103
29-07-05 19:00,108
29-07-05 18:00,124
29-07-05 17:00,133
29-07-05 16:00,129
29-07-05 15:00,126
29-07-05 14:00,135
29-07-05 13:00,131
29-07-05 12:00,130
29-07-05 11:00,127
29-07-05 10:00,123
29-07-05 09:00,108
29-07-05 08:00,91
29-07-05 07:00,53
29-07-05 06:00,59
29-07-05 05:00,81
29-07-05 04:00,60
29-07-05 03:00,59
29-07-05 02:00,55
29-07-05 01:00,46
29-07-05 00:00,45
28-07-05 23:00,32
28-07-05 22:00,31
28-07-05 21:00,45
28-07-05 20:00,81
28-07-05 19:00,136
28-07-05 18:00,136
28-07-05 17:00,166
28-07-05 16:00,149
28-07-05 15:00,129
28-07-05 14:00,119
28-07-05 13:00,114
28-07-05 12:00,113
28-07-05 11:00,112
28-07-05 10:00,100
28-07-05 09:00,96
28-07-05 08:00,67
28-07-05 07:00,40
28-07-05 06:00,39
28-07-05 05:00,38
28-07-05 04:00,80
28-07-05 03:00,78
28-07-05 02:00,86
28-07-05 01:00,87
28-07-05 00:00,61
27-07-05 23:00,46
27-07-05 22:00,63
27-07-05 21:00,58
27-07-05 20:00,69
27-07-05 19:00,98
27-07-05 18:00,123
27-07-05 17:00,117
27-07-05 16:00,108
27-07-05 15:00,103
27-07-05 14:00,100
27-07-05 13:00,97
27-07-05 12:00,86
27-07-05 11:00,61
27-07-05 10:00,47
27-07-05 09:00,35
27-07-05 08:00,21
27-07-05 07:00,23
27-07-05 06:00,9
27-07-05 05:00,11
27-07-05 04:00,21
27-07-05 03:00,33
27-07-05 02:00,38
27-07-05 01:00,41
27-07-05 00:00,45
26-07-05 23:00,37
26-07-05 22:00,55
26-07-05 21:00,61
26-07-05 20:00,67
26-07-05 19:00,77
26-07-05 18:00,83
26-07-05 17:00,86
26-07-05 16:00,76
26-07-05 15:00,73
26-07-05 14:00,53
26-07-05 13:00,69
26-07-05 12:00,71
26-07-05 11:00,69
26-07-05 10:00,64
26-07-05 09:00,57
26-07-05 08:00,54
26-07-05 07:00,42
26-07-05 06:00,39
26-07-05 05:00,50
26-07-05 04:00,56
26-07-05 03:00,61
26-07-05 02:00,62
26-07-05 01:00,63
26-07-05 00:00,62
25-07-05 23:00,61
25-07-05 22:00,53
25-07-05 21:00,58
25-07-05 20:00,60
25-07-05 19:00,68
25-07-05 18:00,74
25-07-05 17:00,71
25-07-05 16:00,
25-07-05 15:00,
25-07-05 14:00,
25-07-05 13:00,
25-07-05 12:00,57
25-07-05 11:00,55
25-07-05 10:00,49
25-07-05 09:00,54
25-07-05 08:00,60
25-07-05 07:00,54
25-07-05 06:00,55
25-07-05 05:00,64
25-07-05 04:00,68
25-07-05 03:00,74
25-07-05 02:00,80
25-07-05 01:00,86
25-07-05 00:00,88
24-07-05 23:00,90
24-07-05 22:00,86
24-07-05 21:00,84
24-07-05 20:00,83
24-07-05 19:00,100
24-07-05 18:00,99
24-07-05 17:00,97
24-07-05 16:00,98
24-07-05 15:00,99
24-07-05 14:00,95
24-07-05 13:00,90
24-07-05 12:00,85
24-07-05 11:00,79
24-07-05 10:00,72
24-07-05 09:00,59
24-07-05 08:00,58
24-07-05 07:00,56
24-07-05 06:00,46
24-07-05 05:00,48
24-07-05 04:00,53
24-07-05 03:00,42
24-07-05 02:00,38
24-07-05 01:00,25
24-07-05 00:00,29
23-07-05 23:00,30
23-07-05 22:00,27
23-07-05 21:00,33
23-07-05 20:00,56
23-07-05 19:00,66
23-07-05 18:00,64
23-07-05 17:00,62
23-07-05 16:00,71
23-07-05 15:00,62
23-07-05 14:00,71
23-07-05 13:00,60
23-07-05 12:00,54
23-07-05 11:00,55
23-07-05 10:00,49
23-07-05 09:00,42
23-07-05 08:00,43
23-07-05 07:00,46
23-07-05 06:00,52
23-07-05 05:00,41
23-07-05 04:00,37
23-07-05 03:00,39
23-07-05 02:00,41
23-07-05 01:00,43
23-07-05 00:00,38
22-07-05 23:00,38
22-07-05 22:00,36
22-07-05 21:00,35
22-07-05 20:00,37
22-07-05 19:00,43
22-07-05 18:00,41
22-07-05 17:00,37
22-07-05 16:00,30
22-07-05 15:00,31
22-07-05 14:00,35
22-07-05 13:00,46
22-07-05 12:00,40
22-07-05 11:00,39
22-07-05 10:00,32
22-07-05 09:00,33
22-07-05 08:00,30
22-07-05 07:00,28
22-07-05 06:00,33
22-07-05 05:00,40
22-07-05 04:00,43
22-07-05 03:00,45
22-07-05 02:00,46
22-07-05 01:00,47
22-07-05 00:00,52
21-07-05 23:00,59
21-07-05 22:00,65
21-07-05 21:00,70
21-07-05 20:00,70
21-07-05 19:00,62
21-07-05 18:00,51
21-07-05 17:00,48
21-07-05 16:00,47
21-07-05 15:00,47
21-07-05 14:00,54
21-07-05 13:00,59
21-07-05 12:00,49
21-07-05 11:00,45
21-07-05 10:00,45
21-07-05 09:00,44
21-07-05 08:00,38
21-07-05 07:00,35
21-07-05 06:00,40
21-07-05 05:00,44
21-07-05 04:00,48
21-07-05 03:00,51
21-07-05 02:00,56
21-07-05 01:00,65
21-07-05 00:00,73
20-07-05 23:00,69
20-07-05 22:00,73
20-07-05 21:00,78
20-07-05 20:00,79
20-07-05 19:00,86
20-07-05 18:00,87
20-07-05 17:00,82
20-07-05 16:00,83
20-07-05 15:00,82
20-07-05 14:00,87
20-07-05 13:00,82
20-07-05 12:00,75
20-07-05 11:00,75
20-07-05 10:00,70
20-07-05 09:00,62
20-07-05 08:00,52
20-07-05 07:00,46
20-07-05 06:00,48
20-07-05 05:00,52
20-07-05 04:00,50
20-07-05 03:00,53
20-07-05 02:00,51
20-07-05 01:00,57
20-07-05 00:00,56
19-07-05 23:00,53
19-07-05 22:00,49
19-07-05 21:00,57
19-07-05 20:00,51
