Datum Zeit,Klingenthal O3
,µg/m³
01-08-05 00:00,26
31-07-05 23:00,29
31-07-05 22:00,38
31-07-05 21:00,41
31-07-05 20:00,62
31-07-05 19:00,81
31-07-05 18:00,82
31-07-05 17:00,91
31-07-05 16:00,91
31-07-05 15:00,90
31-07-05 14:00,91
31-07-05 13:00,89
31-07-05 12:00,79
31-07-05 11:00,68
31-07-05 10:00,61
31-07-05 09:00,57
31-07-05 08:00,46
31-07-05 07:00,7
31-07-05 06:00,7
31-07-05 05:00,21
31-07-05 04:00,31
31-07-05 03:00,36
31-07-05 02:00,31
31-07-05 01:00,29
31-07-05 00:00,33
30-07-05 23:00,45
30-07-05 22:00,31
30-07-05 21:00,36
30-07-05 20:00,37
30-07-05 19:00,34
30-07-05 18:00,45
30-07-05 17:00,73
30-07-05 16:00,88
30-07-05 15:00,94
30-07-05 14:00,101
30-07-05 13:00,98
30-07-05 12:00,96
30-07-05 11:00,93
30-07-05 10:00,90
30-07-05 09:00,85
30-07-05 08:00,66
30-07-05 07:00,73
30-07-05 06:00,65
30-07-05 05:00,48
30-07-05 04:00,63
30-07-05 03:00,57
30-07-05 02:00,67
30-07-05 01:00,89
30-07-05 00:00,88
29-07-05 23:00,105
29-07-05 22:00,131
29-07-05 21:00,149
29-07-05 20:00,157
29-07-05 19:00,145
29-07-05 18:00,99
29-07-05 17:00,125
29-07-05 16:00,145
29-07-05 15:00,152
29-07-05 14:00,149
29-07-05 13:00,144
29-07-05 12:00,136
29-07-05 11:00,116
29-07-05 10:00,108
29-07-05 09:00,89
29-07-05 08:00,61
29-07-05 07:00,13
29-07-05 06:00,9
29-07-05 05:00,18
29-07-05 04:00,24
29-07-05 03:00,28
29-07-05 02:00,33
29-07-05 01:00,37
29-07-05 00:00,42
28-07-05 23:00,46
28-07-05 22:00,47
28-07-05 21:00,60
28-07-05 20:00,98
28-07-05 19:00,104
28-07-05 18:00,136
28-07-05 17:00,159
28-07-05 16:00,151
28-07-05 15:00,152
28-07-05 14:00,150
28-07-05 13:00,143
28-07-05 12:00,130
28-07-05 11:00,116
28-07-05 10:00,101
28-07-05 09:00,54
28-07-05 08:00,19
28-07-05 07:00,2
28-07-05 06:00,1
28-07-05 05:00,1
28-07-05 04:00,1
28-07-05 03:00,2
28-07-05 02:00,3
28-07-05 01:00,3
28-07-05 00:00,7
27-07-05 23:00,10
27-07-05 22:00,20
27-07-05 21:00,31
27-07-05 20:00,48
27-07-05 19:00,53
27-07-05 18:00,71
27-07-05 17:00,97
27-07-05 16:00,99
27-07-05 15:00,97
27-07-05 14:00,98
27-07-05 13:00,98
27-07-05 12:00,90
27-07-05 11:00,86
27-07-05 10:00,81
27-07-05 09:00,57
27-07-05 08:00,21
27-07-05 07:00,5
27-07-05 06:00,1
27-07-05 05:00,1
27-07-05 04:00,1
27-07-05 03:00,2
27-07-05 02:00,5
27-07-05 01:00,7
27-07-05 00:00,7
26-07-05 23:00,10
26-07-05 22:00,20
26-07-05 21:00,38
26-07-05 20:00,44
26-07-05 19:00,65
26-07-05 18:00,87
26-07-05 17:00,90
26-07-05 16:00,91
26-07-05 15:00,82
26-07-05 14:00,73
26-07-05 13:00,66
26-07-05 12:00,68
26-07-05 11:00,66
26-07-05 10:00,55
26-07-05 09:00,55
26-07-05 08:00,57
26-07-05 07:00,28
26-07-05 06:00,5
26-07-05 05:00,9
26-07-05 04:00,11
26-07-05 03:00,12
26-07-05 02:00,13
26-07-05 01:00,10
26-07-05 00:00,14
25-07-05 23:00,21
25-07-05 22:00,30
25-07-05 21:00,41
25-07-05 20:00,60
25-07-05 19:00,75
25-07-05 18:00,74
25-07-05 17:00,73
25-07-05 16:00,69
25-07-05 15:00,68
25-07-05 14:00,63
25-07-05 13:00,62
25-07-05 12:00,63
25-07-05 11:00,55
25-07-05 10:00,46
25-07-05 09:00,35
25-07-05 08:00,25
25-07-05 07:00,30
25-07-05 06:00,34
25-07-05 05:00,39
25-07-05 04:00,44
25-07-05 03:00,46
25-07-05 02:00,48
25-07-05 01:00,40
25-07-05 00:00,39
24-07-05 23:00,42
24-07-05 22:00,66
24-07-05 21:00,25
24-07-05 20:00,33
24-07-05 19:00,42
24-07-05 18:00,64
24-07-05 17:00,82
24-07-05 16:00,98
24-07-05 15:00,106
24-07-05 14:00,106
24-07-05 13:00,102
24-07-05 12:00,99
24-07-05 11:00,101
24-07-05 10:00,96
24-07-05 09:00,73
24-07-05 08:00,23
24-07-05 07:00,5
24-07-05 06:00,3
24-07-05 05:00,3
24-07-05 04:00,4
24-07-05 03:00,4
24-07-05 02:00,7
24-07-05 01:00,6
24-07-05 00:00,2
23-07-05 23:00,3
23-07-05 22:00,7
23-07-05 21:00,13
23-07-05 20:00,30
23-07-05 19:00,68
23-07-05 18:00,76
23-07-05 17:00,74
23-07-05 16:00,68
23-07-05 15:00,63
23-07-05 14:00,55
23-07-05 13:00,57
23-07-05 12:00,51
23-07-05 11:00,46
23-07-05 10:00,43
23-07-05 09:00,40
23-07-05 08:00,37
23-07-05 07:00,34
23-07-05 06:00,31
23-07-05 05:00,28
23-07-05 04:00,25
23-07-05 03:00,19
23-07-05 02:00,22
23-07-05 01:00,24
23-07-05 00:00,26
22-07-05 23:00,33
22-07-05 22:00,50
22-07-05 21:00,47
22-07-05 20:00,36
22-07-05 19:00,39
22-07-05 18:00,38
22-07-05 17:00,40
22-07-05 16:00,43
22-07-05 15:00,48
22-07-05 14:00,45
22-07-05 13:00,42
