Datum Zeit,Schwartenberg PM2.5
,µg/m³
31-12-09,
30-12-09,2.54
29-12-09,
28-12-09,2.46
27-12-09,
26-12-09,1.91
25-12-09,
24-12-09,2.22
23-12-09,
22-12-09,28.76
21-12-09,
20-12-09,34.83
19-12-09,
18-12-09,28.02
17-12-09,
16-12-09,12.68
15-12-09,
14-12-09,9.93
13-12-09,
12-12-09,9.76
11-12-09,
10-12-09,8.24
09-12-09,
08-12-09,2.95
07-12-09,
06-12-09,6.45
05-12-09,
04-12-09,7.40
03-12-09,
02-12-09,9.59
01-12-09,

