Datum Zeit,Schwartenberg O3
,µg/m³
01-01-10 00:00,57
31-12-09 23:00,48
31-12-09 22:00,45
31-12-09 21:00,19
31-12-09 20:00,9
31-12-09 19:00,9
31-12-09 18:00,27
31-12-09 17:00,33
31-12-09 16:00,26
31-12-09 15:00,27
31-12-09 14:00,28
31-12-09 13:00,23
31-12-09 12:00,24
31-12-09 11:00,30
31-12-09 10:00,34
31-12-09 09:00,41
31-12-09 08:00,53
31-12-09 07:00,58
31-12-09 06:00,62
31-12-09 05:00,62
31-12-09 04:00,63
31-12-09 03:00,66
31-12-09 02:00,70
31-12-09 01:00,72
31-12-09 00:00,69
30-12-09 23:00,55
30-12-09 22:00,33
30-12-09 21:00,17
30-12-09 20:00,26
30-12-09 19:00,63
30-12-09 18:00,65
30-12-09 17:00,70
30-12-09 16:00,68
30-12-09 15:00,69
30-12-09 14:00,70
30-12-09 13:00,71
30-12-09 12:00,71
30-12-09 11:00,71
30-12-09 10:00,71
30-12-09 09:00,68
30-12-09 08:00,60
30-12-09 07:00,53
30-12-09 06:00,44
30-12-09 05:00,38
30-12-09 04:00,33
30-12-09 03:00,37
30-12-09 02:00,38
30-12-09 01:00,36
30-12-09 00:00,41
29-12-09 23:00,50
29-12-09 22:00,46
29-12-09 21:00,47
29-12-09 20:00,35
29-12-09 19:00,30
29-12-09 18:00,28
29-12-09 17:00,27
29-12-09 16:00,33
29-12-09 15:00,41
29-12-09 14:00,54
29-12-09 13:00,34
29-12-09 12:00,38
29-12-09 11:00,49
29-12-09 10:00,51
29-12-09 09:00,55
29-12-09 08:00,64
29-12-09 07:00,70
29-12-09 06:00,66
29-12-09 05:00,65
29-12-09 04:00,63
29-12-09 03:00,55
29-12-09 02:00,51
29-12-09 01:00,46
29-12-09 00:00,50
28-12-09 23:00,49
28-12-09 22:00,52
28-12-09 21:00,54
28-12-09 20:00,50
28-12-09 19:00,52
28-12-09 18:00,55
28-12-09 17:00,59
28-12-09 16:00,63
28-12-09 15:00,65
28-12-09 14:00,66
28-12-09 13:00,68
28-12-09 12:00,69
28-12-09 11:00,70
28-12-09 10:00,66
28-12-09 09:00,67
28-12-09 08:00,66
28-12-09 07:00,67
28-12-09 06:00,68
28-12-09 05:00,64
28-12-09 04:00,65
28-12-09 03:00,63
28-12-09 02:00,57
28-12-09 01:00,50
28-12-09 00:00,50
27-12-09 23:00,59
27-12-09 22:00,61
27-12-09 21:00,73
27-12-09 20:00,75
27-12-09 19:00,77
27-12-09 18:00,65
27-12-09 17:00,67
27-12-09 16:00,71
27-12-09 15:00,79
27-12-09 14:00,73
27-12-09 13:00,53
27-12-09 12:00,53
27-12-09 11:00,42
27-12-09 10:00,33
27-12-09 09:00,19
27-12-09 08:00,32
27-12-09 07:00,29
27-12-09 06:00,41
27-12-09 05:00,46
27-12-09 04:00,42
27-12-09 03:00,44
27-12-09 02:00,47
27-12-09 01:00,48
27-12-09 00:00,30
26-12-09 23:00,38
26-12-09 22:00,51
26-12-09 21:00,67
26-12-09 20:00,64
26-12-09 19:00,72
26-12-09 18:00,67
26-12-09 17:00,72
26-12-09 16:00,76
26-12-09 15:00,76
26-12-09 14:00,77
26-12-09 13:00,76
26-12-09 12:00,76
26-12-09 11:00,72
26-12-09 10:00,69
26-12-09 09:00,66
26-12-09 08:00,66
26-12-09 07:00,68
26-12-09 06:00,69
26-12-09 05:00,70
26-12-09 04:00,71
26-12-09 03:00,71
26-12-09 02:00,70
26-12-09 01:00,69
26-12-09 00:00,68
25-12-09 23:00,69
25-12-09 22:00,70
25-12-09 21:00,71
25-12-09 20:00,69
25-12-09 19:00,67
25-12-09 18:00,60
25-12-09 17:00,52
25-12-09 16:00,50
25-12-09 15:00,47
25-12-09 14:00,43
25-12-09 13:00,56
25-12-09 12:00,63
25-12-09 11:00,65
25-12-09 10:00,64
25-12-09 09:00,62
25-12-09 08:00,56
25-12-09 07:00,38
25-12-09 06:00,29
25-12-09 05:00,32
25-12-09 04:00,27
25-12-09 03:00,30
25-12-09 02:00,41
25-12-09 01:00,23
25-12-09 00:00,32
24-12-09 23:00,32
24-12-09 22:00,30
24-12-09 21:00,30
24-12-09 20:00,18
