Datum Zeit,Dresden-Bergstraße NO2
,µg/m³
01-01-10 00:00,48
31-12-09 23:00,54
31-12-09 22:00,41
31-12-09 21:00,48
31-12-09 20:00,45
31-12-09 19:00,58
31-12-09 18:00,66
31-12-09 17:00,62
31-12-09 16:00,61
31-12-09 15:00,63
31-12-09 14:00,74
31-12-09 13:00,62
31-12-09 12:00,59
31-12-09 11:00,54
31-12-09 10:00,47
31-12-09 09:00,41
31-12-09 08:00,32
31-12-09 07:00,28
31-12-09 06:00,25
31-12-09 05:00,29
31-12-09 04:00,26
31-12-09 03:00,33
31-12-09 02:00,58
31-12-09 01:00,69
31-12-09 00:00,64
30-12-09 23:00,51
30-12-09 22:00,55
30-12-09 21:00,57
30-12-09 20:00,78
30-12-09 19:00,101
30-12-09 18:00,98
30-12-09 17:00,110
30-12-09 16:00,103
30-12-09 15:00,87
30-12-09 14:00,78
30-12-09 13:00,86
30-12-09 12:00,73
30-12-09 11:00,68
30-12-09 10:00,65
30-12-09 09:00,49
30-12-09 08:00,44
30-12-09 07:00,36
30-12-09 06:00,28
30-12-09 05:00,18
30-12-09 04:00,13
30-12-09 03:00,12
30-12-09 02:00,13
30-12-09 01:00,16
30-12-09 00:00,20
29-12-09 23:00,20
29-12-09 22:00,25
29-12-09 21:00,33
29-12-09 20:00,37
29-12-09 19:00,47
29-12-09 18:00,48
29-12-09 17:00,55
29-12-09 16:00,51
29-12-09 15:00,46
29-12-09 14:00,37
29-12-09 13:00,49
29-12-09 12:00,51
29-12-09 11:00,52
29-12-09 10:00,93
29-12-09 09:00,108
29-12-09 08:00,111
29-12-09 07:00,81
29-12-09 06:00,53
29-12-09 05:00,40
29-12-09 04:00,30
29-12-09 03:00,26
29-12-09 02:00,30
29-12-09 01:00,39
29-12-09 00:00,50
28-12-09 23:00,43
28-12-09 22:00,36
28-12-09 21:00,59
28-12-09 20:00,50
28-12-09 19:00,43
28-12-09 18:00,51
28-12-09 17:00,53
28-12-09 16:00,53
28-12-09 15:00,49
28-12-09 14:00,47
28-12-09 13:00,47
28-12-09 12:00,43
28-12-09 11:00,48
28-12-09 10:00,46
28-12-09 09:00,44
28-12-09 08:00,38
28-12-09 07:00,36
28-12-09 06:00,25
28-12-09 05:00,14
28-12-09 04:00,16
28-12-09 03:00,16
28-12-09 02:00,21
28-12-09 01:00,42
28-12-09 00:00,43
27-12-09 23:00,50
27-12-09 22:00,50
27-12-09 21:00,56
27-12-09 20:00,57
27-12-09 19:00,62
27-12-09 18:00,74
27-12-09 17:00,70
27-12-09 16:00,68
27-12-09 15:00,59
27-12-09 14:00,64
27-12-09 13:00,63
27-12-09 12:00,54
27-12-09 11:00,52
27-12-09 10:00,50
27-12-09 09:00,33
27-12-09 08:00,33
27-12-09 07:00,30
27-12-09 06:00,28
27-12-09 05:00,26
27-12-09 04:00,23
27-12-09 03:00,24
27-12-09 02:00,25
27-12-09 01:00,33
27-12-09 00:00,55
26-12-09 23:00,76
26-12-09 22:00,56
26-12-09 21:00,71
26-12-09 20:00,110
26-12-09 19:00,123
26-12-09 18:00,108
26-12-09 17:00,77
26-12-09 16:00,47
26-12-09 15:00,42
26-12-09 14:00,36
26-12-09 13:00,38
26-12-09 12:00,46
26-12-09 11:00,42
26-12-09 10:00,36
26-12-09 09:00,19
26-12-09 08:00,14
26-12-09 07:00,12
26-12-09 06:00,14
26-12-09 05:00,8
26-12-09 04:00,11
26-12-09 03:00,14
26-12-09 02:00,13
26-12-09 01:00,20
26-12-09 00:00,27
25-12-09 23:00,25
25-12-09 22:00,27
25-12-09 21:00,25
25-12-09 20:00,28
25-12-09 19:00,31
25-12-09 18:00,36
25-12-09 17:00,38
25-12-09 16:00,39
25-12-09 15:00,32
25-12-09 14:00,28
25-12-09 13:00,37
25-12-09 12:00,38
25-12-09 11:00,37
25-12-09 10:00,29
25-12-09 09:00,22
25-12-09 08:00,45
25-12-09 07:00,18
25-12-09 06:00,15
25-12-09 05:00,13
25-12-09 04:00,13
25-12-09 03:00,15
25-12-09 02:00,15
25-12-09 01:00,17
