Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-12-09,36.13
30-12-09,16.29
29-12-09,13.60
28-12-09,7.17
27-12-09,23.91
26-12-09,5.51
25-12-09,5.08
24-12-09,17.24
23-12-09,16.90
22-12-09,39.65
21-12-09,21.76
20-12-09,47.79
19-12-09,61.45
18-12-09,39.30
17-12-09,33.93
16-12-09,21.14
15-12-09,21.22
14-12-09,25.22
13-12-09,16.38
12-12-09,23.04
11-12-09,24.59
10-12-09,13.69
09-12-09,15.16
08-12-09,11.67
07-12-09,11.85
06-12-09,20.39
05-12-09,21.91
04-12-09,25.60
03-12-09,21.30
02-12-09,17.18
01-12-09,11.30

