Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2018-07-01,01:00,,2,19,,19,
2018-07-01,02:00,,2,16,,16,
2018-07-01,03:00,,2,15,,14,
2018-07-01,04:00,,2,14,,13,
2018-07-01,05:00,,3,14,,12,
2018-07-01,06:00,,3,13,,12,
2018-07-01,07:00,,3,13,,10,
2018-07-01,08:00,,3,12,,12,
2018-07-01,09:00,,4,11,,12,
2018-07-01,10:00,,4,11,,8,
2018-07-01,11:00,,3,10,,7,
2018-07-01,12:00,,3,9,,6,
2018-07-01,13:00,,4,10,,5,
2018-07-01,14:00,,3,9,,5,
2018-07-01,15:00,,4,10,,6,
2018-07-01,16:00,,3,9,,6,
2018-07-01,17:00,,4,10,,6,
2018-07-01,18:00,,3,11,,5,
2018-07-01,19:00,,4,12,,7,
2018-07-01,20:00,,5,14,,6,
2018-07-01,21:00,,5,17,,7,
