Datum Zeit,Dresden-Nord BEN
,µg/m³
01-10-05 00:00,3.1
30-09-05 23:00,4.1
30-09-05 22:00,4.8
30-09-05 21:00,10.3
30-09-05 20:00,8.7
30-09-05 19:00,4.5
30-09-05 18:00,4.2
30-09-05 17:00,3.5
30-09-05 16:00,3.2
30-09-05 15:00,2.5
30-09-05 14:00,2.3
30-09-05 13:00,2.4
30-09-05 12:00,1.7
30-09-05 11:00,1.6
30-09-05 10:00,1.9
30-09-05 09:00,1.8
30-09-05 08:00,1.5
30-09-05 07:00,1.8
30-09-05 06:00,1.2
30-09-05 05:00,0.5
30-09-05 04:00,0.5
30-09-05 03:00,0.5
30-09-05 02:00,0.6
30-09-05 01:00,0.9
30-09-05 00:00,1.3
29-09-05 23:00,1.7
29-09-05 22:00,1.7
29-09-05 21:00,2.6
29-09-05 20:00,2.7
29-09-05 19:00,2.1
29-09-05 18:00,3.5
29-09-05 17:00,2.7
29-09-05 16:00,3.5
29-09-05 15:00,3.5
29-09-05 14:00,3.1
29-09-05 13:00,2.6
29-09-05 12:00,2.0
29-09-05 11:00,2.2
29-09-05 10:00,2.6
29-09-05 09:00,3.6
29-09-05 08:00,3.1
29-09-05 07:00,3.8
29-09-05 06:00,1.9
29-09-05 05:00,0.9
29-09-05 04:00,0.9
29-09-05 03:00,0.9
29-09-05 02:00,1.3
29-09-05 01:00,2.1
29-09-05 00:00,2.9
28-09-05 23:00,3.2
28-09-05 22:00,3.9
28-09-05 21:00,4.2
28-09-05 20:00,5.1
28-09-05 19:00,3.9
28-09-05 18:00,3.3
28-09-05 17:00,3.1
28-09-05 16:00,2.6
28-09-05 15:00,2.2
28-09-05 14:00,3.1
28-09-05 13:00,2.6
28-09-05 12:00,2.6
28-09-05 11:00,2.5
28-09-05 10:00,2.5
28-09-05 09:00,2.5
28-09-05 08:00,2.7
28-09-05 07:00,2.8
28-09-05 06:00,1.8
28-09-05 05:00,1.0
28-09-05 04:00,0.8
28-09-05 03:00,
28-09-05 02:00,
28-09-05 01:00,
28-09-05 00:00,
27-09-05 23:00,
27-09-05 22:00,1.4
27-09-05 21:00,1.7
27-09-05 20:00,3.0
27-09-05 19:00,5.1
27-09-05 18:00,4.4
27-09-05 17:00,2.8
27-09-05 16:00,2.5
27-09-05 15:00,2.2
27-09-05 14:00,2.2
27-09-05 13:00,2.1
27-09-05 12:00,1.6
27-09-05 11:00,1.8
27-09-05 10:00,2.2
27-09-05 09:00,3.5
27-09-05 08:00,4.1
27-09-05 07:00,3.4
27-09-05 06:00,2.3
27-09-05 05:00,1.9
27-09-05 04:00,2.1
27-09-05 03:00,1.7
27-09-05 02:00,2.2
27-09-05 01:00,2.3
27-09-05 00:00,3.7
26-09-05 23:00,3.7
26-09-05 22:00,4.2
26-09-05 21:00,4.9
26-09-05 20:00,7.9
26-09-05 19:00,4.8
