Datum,Zeit,BEN,NO,NO2,O3,PM10_TEOM,SO2
yyyy-mm-dd,hh:mm,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³,µg/m³
2017-12-01,01:00,,3,23,,16,
2017-12-01,02:00,,2,24,,16,
2017-12-01,03:00,,2,25,,17,
2017-12-01,04:00,,3,22,,14,
2017-12-01,05:00,,2,22,,15,
2017-12-01,06:00,,26,33,,17,
2017-12-01,07:00,,87,41,,27,
2017-12-01,08:00,,134,43,,28,
2017-12-01,09:00,,154,43,,38,
2017-12-01,10:00,,162,44,,46,
2017-12-01,11:00,,156,51,,86,
2017-12-01,12:00,,34,27,,58,
2017-12-01,13:00,,38,33,,31,
2017-12-01,14:00,,42,33,,37,
2017-12-01,15:00,,29,31,,29,
2017-12-01,16:00,,50,40,,29,
2017-12-01,17:00,,39,44,,32,
2017-12-01,18:00,,59,45,,31,
2017-12-01,19:00,,84,53,,28,
2017-12-01,20:00,,62,45,,41,
2017-12-01,21:00,,36,42,,40,
2017-12-01,22:00,,12,33,,27,
2017-12-01,23:00,,6,20,,18,
2017-12-02,00:00,,2,20,,14,
2017-12-02,01:00,,4,26,,18,
2017-12-02,02:00,,2,31,,25,
2017-12-02,03:00,,4,34,,19,
2017-12-02,04:00,,1,27,,19,
2017-12-02,05:00,,1,22,,17,
2017-12-02,06:00,,2,22,,21,
2017-12-02,07:00,,2,16,,18,
2017-12-02,08:00,,12,30,,17,
2017-12-02,09:00,,22,40,,25,
2017-12-02,10:00,,16,33,,26,
2017-12-02,11:00,,16,30,,22,
