Datum Zeit,Leipzig-West PM2.5
,µg/m³
31-12-11,13.27
30-12-11,2.97
29-12-11,6.01
28-12-11,10.65
27-12-11,8.51
26-12-11,4.32
25-12-11,4.35
24-12-11,3.11
23-12-11,5.50
22-12-11,11.66
21-12-11,5.81
20-12-11,10.61
19-12-11,7.49
18-12-11,5.59
17-12-11,3.16
16-12-11,2.30
15-12-11,2.96
14-12-11,2.59
13-12-11,3.59
12-12-11,9.04
11-12-11,9.87
10-12-11,6.10
09-12-11,3.80
08-12-11,4.95
07-12-11,3.74
06-12-11,3.96
05-12-11,2.67
04-12-11,3.35
03-12-11,6.70
02-12-11,9.60
01-12-11,13.89

