Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-12-11,20.82
30-12-11,2.80
29-12-11,
28-12-11,12.39
27-12-11,6.47
26-12-11,3.72
25-12-11,5.02
24-12-11,3.50
23-12-11,5.25
22-12-11,16.42
21-12-11,7.25
20-12-11,15.11
19-12-11,8.20
18-12-11,5.40
17-12-11,4.04
16-12-11,3.60
15-12-11,4.75
14-12-11,4.51
13-12-11,5.80
12-12-11,13.47
11-12-11,14.07
10-12-11,6.40
09-12-11,4.04
08-12-11,4.90
07-12-11,3.98
06-12-11,3.64
05-12-11,2.71
04-12-11,2.91
03-12-11,6.28
02-12-11,17.09
01-12-11,17.33

