Datum Zeit,Carlsfeld PM10
,µg/m³
31-12-11,5
30-12-11,3
29-12-11,7
28-12-11,4
27-12-11,2
26-12-11,2
25-12-11,4
24-12-11,3
23-12-11,2
22-12-11,4
21-12-11,4
20-12-11,8
19-12-11,7
18-12-11,6
17-12-11,4
16-12-11,3
15-12-11,3
14-12-11,4
13-12-11,5
12-12-11,4
11-12-11,8
10-12-11,7
09-12-11,5
08-12-11,8
07-12-11,4
06-12-11,4
05-12-11,4
04-12-11,2
03-12-11,5
02-12-11,11
01-12-11,8

