Datum Zeit,Leipzig-Mitte PM2.5
,µg/m³
31-12-11,14.28
30-12-11,4.63
29-12-11,8.78
28-12-11,14.15
27-12-11,11.55
26-12-11,4.50
25-12-11,6.09
24-12-11,4.14
23-12-11,9.81
22-12-11,17.51
21-12-11,9.21
20-12-11,16.93
19-12-11,13.94
18-12-11,8.78
17-12-11,5.79
16-12-11,6.15
15-12-11,8.59
14-12-11,6.81
13-12-11,9.42
12-12-11,14.00
11-12-11,13.58
10-12-11,9.64
09-12-11,7.61
08-12-11,8.84
07-12-11,7.48
06-12-11,9.39
05-12-11,6.07
04-12-11,5.06
03-12-11,9.51
02-12-11,15.51
01-12-11,17.92

