Datum Zeit,Dresden-Bergstraße PM2.5
,µg/m³
31-12-11,21.35
30-12-11,4.31
29-12-11,8.41
28-12-11,13.55
27-12-11,8.08
26-12-11,4.53
25-12-11,5.42
24-12-11,4.03
23-12-11,8.32
22-12-11,21.25
21-12-11,7.59
20-12-11,17.52
19-12-11,12.11
18-12-11,6.09
17-12-11,4.92
16-12-11,5.52
15-12-11,10.15
14-12-11,7.98
13-12-11,8.80
12-12-11,14.63
11-12-11,15.40
10-12-11,8.51
09-12-11,8.08
08-12-11,8.20
07-12-11,7.61
06-12-11,8.27
05-12-11,6.04
04-12-11,3.84
03-12-11,7.95
02-12-11,18.27
01-12-11,16.71

