Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
31-12-11,17.40
30-12-11,4.16
29-12-11,7.70
28-12-11,10.40
27-12-11,10.07
26-12-11,4.82
25-12-11,5.05
24-12-11,3.04
23-12-11,6.41
22-12-11,13.48
21-12-11,7.30
20-12-11,13.70
19-12-11,10.03
18-12-11,5.80
17-12-11,3.65
16-12-11,4.52
15-12-11,6.33
14-12-11,6.21
13-12-11,6.02
12-12-11,10.61
11-12-11,10.16
10-12-11,8.34
09-12-11,5.47
08-12-11,7.12
07-12-11,5.83
06-12-11,6.06
05-12-11,4.41
04-12-11,3.34
03-12-11,7.30
02-12-11,11.01
01-12-11,14.03

