Datum Zeit,Brockau PM10
,µg/m³
31-12-11,9
30-12-11,3
29-12-11,7
28-12-11,8
27-12-11,6
26-12-11,5
25-12-11,7
24-12-11,4
23-12-11,4
22-12-11,8
21-12-11,8
20-12-11,11
19-12-11,9
18-12-11,6
17-12-11,5
16-12-11,3
15-12-11,4
14-12-11,4
13-12-11,5
12-12-11,8
11-12-11,14
10-12-11,8
09-12-11,5
08-12-11,10
07-12-11,5
06-12-11,5
05-12-11,4
04-12-11,3
03-12-11,7
02-12-11,12
01-12-11,14

