Datum Zeit,Bautzen O3
,µg/m³
01-05-02 00:00,83
30-04-02 23:00,83
30-04-02 22:00,59
30-04-02 21:00,39
30-04-02 20:00,64
30-04-02 19:00,69
30-04-02 18:00,89
30-04-02 17:00,89
30-04-02 16:00,86
30-04-02 15:00,83
30-04-02 14:00,75
30-04-02 13:00,76
30-04-02 12:00,66
30-04-02 11:00,60
30-04-02 10:00,58
30-04-02 09:00,62
30-04-02 08:00,56
30-04-02 07:00,50
30-04-02 06:00,58
30-04-02 05:00,65
30-04-02 04:00,73
30-04-02 03:00,76
30-04-02 02:00,73
30-04-02 01:00,69
30-04-02 00:00,73
29-04-02 23:00,72
29-04-02 22:00,66
29-04-02 21:00,75
29-04-02 20:00,83
29-04-02 19:00,75
29-04-02 18:00,78
29-04-02 17:00,72
29-04-02 16:00,77
29-04-02 15:00,67
29-04-02 14:00,65
29-04-02 13:00,72
29-04-02 12:00,81
29-04-02 11:00,80
29-04-02 10:00,80
29-04-02 09:00,82
29-04-02 08:00,76
29-04-02 07:00,72
29-04-02 06:00,67
29-04-02 05:00,64
29-04-02 04:00,65
29-04-02 03:00,71
29-04-02 02:00,79
29-04-02 01:00,83
29-04-02 00:00,78
28-04-02 23:00,80
28-04-02 22:00,74
28-04-02 21:00,73
28-04-02 20:00,80
28-04-02 19:00,89
28-04-02 18:00,85
28-04-02 17:00,92
28-04-02 16:00,93
28-04-02 15:00,91
28-04-02 14:00,86
28-04-02 13:00,86
28-04-02 12:00,79
28-04-02 11:00,73
28-04-02 10:00,70
28-04-02 09:00,62
28-04-02 08:00,59
28-04-02 07:00,54
28-04-02 06:00,47
28-04-02 05:00,50
28-04-02 04:00,57
28-04-02 03:00,70
28-04-02 02:00,71
28-04-02 01:00,71
28-04-02 00:00,73
27-04-02 23:00,72
27-04-02 22:00,72
27-04-02 21:00,71
27-04-02 20:00,76
27-04-02 19:00,77
27-04-02 18:00,84
27-04-02 17:00,79
27-04-02 16:00,82
27-04-02 15:00,79
27-04-02 14:00,75
27-04-02 13:00,76
27-04-02 12:00,79
27-04-02 11:00,77
27-04-02 10:00,85
27-04-02 09:00,85
27-04-02 08:00,80
27-04-02 07:00,71
27-04-02 06:00,67
27-04-02 05:00,66
27-04-02 04:00,75
27-04-02 03:00,76
27-04-02 02:00,77
27-04-02 01:00,77
27-04-02 00:00,83
26-04-02 23:00,82
26-04-02 22:00,76
26-04-02 21:00,70
26-04-02 20:00,64
26-04-02 19:00,91
26-04-02 18:00,102
26-04-02 17:00,108
26-04-02 16:00,107
26-04-02 15:00,95
26-04-02 14:00,95
26-04-02 13:00,99
26-04-02 12:00,89
26-04-02 11:00,82
26-04-02 10:00,68
26-04-02 09:00,56
26-04-02 08:00,32
26-04-02 07:00,30
26-04-02 06:00,30
26-04-02 05:00,37
26-04-02 04:00,45
26-04-02 03:00,40
26-04-02 02:00,34
26-04-02 01:00,31
26-04-02 00:00,29
25-04-02 23:00,25
25-04-02 22:00,32
25-04-02 21:00,45
25-04-02 20:00,42
25-04-02 19:00,39
25-04-02 18:00,50
25-04-02 17:00,50
25-04-02 16:00,61
25-04-02 15:00,51
25-04-02 14:00,50
25-04-02 13:00,80
25-04-02 12:00,68
25-04-02 11:00,57
25-04-02 10:00,56
25-04-02 09:00,49
25-04-02 08:00,43
25-04-02 07:00,31
25-04-02 06:00,32
25-04-02 05:00,26
25-04-02 04:00,18
25-04-02 03:00,11
25-04-02 02:00,20
25-04-02 01:00,32
25-04-02 00:00,36
24-04-02 23:00,44
24-04-02 22:00,38
24-04-02 21:00,37
24-04-02 20:00,51
24-04-02 19:00,66
24-04-02 18:00,68
24-04-02 17:00,62
24-04-02 16:00,65
24-04-02 15:00,71
24-04-02 14:00,75
24-04-02 13:00,83
24-04-02 12:00,79
24-04-02 11:00,62
24-04-02 10:00,59
24-04-02 09:00,51
24-04-02 08:00,49
24-04-02 07:00,36
24-04-02 06:00,37
24-04-02 05:00,45
24-04-02 04:00,53
24-04-02 03:00,55
24-04-02 02:00,56
24-04-02 01:00,58
24-04-02 00:00,53
23-04-02 23:00,47
23-04-02 22:00,68
23-04-02 21:00,60
23-04-02 20:00,53
23-04-02 19:00,53
23-04-02 18:00,54
23-04-02 17:00,60
23-04-02 16:00,63
23-04-02 15:00,87
23-04-02 14:00,94
23-04-02 13:00,105
23-04-02 12:00,85
23-04-02 11:00,78
23-04-02 10:00,89
23-04-02 09:00,80
23-04-02 08:00,60
23-04-02 07:00,23
23-04-02 06:00,9
23-04-02 05:00,11
23-04-02 04:00,27
23-04-02 03:00,45
23-04-02 02:00,46
23-04-02 01:00,52
23-04-02 00:00,52
22-04-02 23:00,46
22-04-02 22:00,38
22-04-02 21:00,37
22-04-02 20:00,41
22-04-02 19:00,66
22-04-02 18:00,90
22-04-02 17:00,102
22-04-02 16:00,90
22-04-02 15:00,81
22-04-02 14:00,99
22-04-02 13:00,95
22-04-02 12:00,69
22-04-02 11:00,60
22-04-02 10:00,42
22-04-02 09:00,42
22-04-02 08:00,36
22-04-02 07:00,28
22-04-02 06:00,27
22-04-02 05:00,41
22-04-02 04:00,58
22-04-02 03:00,58
22-04-02 02:00,67
22-04-02 01:00,55
22-04-02 00:00,65
21-04-02 23:00,61
21-04-02 22:00,62
21-04-02 21:00,68
21-04-02 20:00,73
21-04-02 19:00,77
21-04-02 18:00,81
21-04-02 17:00,85
21-04-02 16:00,75
21-04-02 15:00,71
21-04-02 14:00,76
21-04-02 13:00,76
21-04-02 12:00,68
21-04-02 11:00,61
21-04-02 10:00,60
21-04-02 09:00,54
21-04-02 08:00,52
21-04-02 07:00,59
21-04-02 06:00,55
21-04-02 05:00,59
21-04-02 04:00,49
21-04-02 03:00,54
21-04-02 02:00,49
21-04-02 01:00,48
21-04-02 00:00,36
20-04-02 23:00,46
20-04-02 22:00,51
20-04-02 21:00,53
20-04-02 20:00,60
20-04-02 19:00,70
20-04-02 18:00,68
20-04-02 17:00,69
20-04-02 16:00,66
20-04-02 15:00,66
20-04-02 14:00,72
20-04-02 13:00,74
20-04-02 12:00,70
20-04-02 11:00,59
20-04-02 10:00,63
20-04-02 09:00,57
20-04-02 08:00,41
20-04-02 07:00,36
20-04-02 06:00,29
20-04-02 05:00,38
20-04-02 04:00,45
20-04-02 03:00,56
20-04-02 02:00,55
20-04-02 01:00,46
20-04-02 00:00,31
19-04-02 23:00,47
19-04-02 22:00,43
