Datum Zeit,Dresden-Nord PM2.5
,µg/m³
30-09-14,19.44
29-09-14,18.80
28-09-14,13.90
27-09-14,13.18
26-09-14,12.80
25-09-14,13.46
24-09-14,11.85
23-09-14,8.97
22-09-14,10.52
21-09-14,11.47
20-09-14,14.49
19-09-14,20.98
18-09-14,15.86
17-09-14,16.46
16-09-14,22.70
15-09-14,23.99
14-09-14,22.66
13-09-14,23.67
12-09-14,22.54
11-09-14,13.60
10-09-14,14.83
09-09-14,18.46
08-09-14,25.58
07-09-14,19.80
06-09-14,24.12
05-09-14,23.39
04-09-14,19.13
03-09-14,14.74
02-09-14,11.11
01-09-14,11.24

