Datum Zeit,Carlsfeld PM10
,µg/m³
30-09-14,9
29-09-14,8
28-09-14,9
27-09-14,7
26-09-14,5
25-09-14,10
24-09-14,9
23-09-14,5
22-09-14,7
21-09-14,6
20-09-14,7
19-09-14,14
18-09-14,13
17-09-14,11
16-09-14,18
15-09-14,10
14-09-14,5
13-09-14,4
12-09-14,3
11-09-14,11
10-09-14,
09-09-14,
08-09-14,
07-09-14,
06-09-14,
05-09-14,
04-09-14,
03-09-14,
02-09-14,7
01-09-14,6

