Datum Zeit,Leipzig-West PM2.5
,µg/m³
30-09-14,12.16
29-09-14,10.00
28-09-14,11.98
27-09-14,10.58
26-09-14,11.40
25-09-14,9.72
24-09-14,8.84
23-09-14,6.35
22-09-14,8.91
21-09-14,12.34
20-09-14,11.52
19-09-14,13.74
18-09-14,15.39
17-09-14,15.17
16-09-14,23.48
15-09-14,22.09
14-09-14,7.89
13-09-14,8.71
12-09-14,16.06
11-09-14,7.97
10-09-14,8.72
09-09-14,13.27
08-09-14,27.90
07-09-14,19.71
06-09-14,22.27
05-09-14,19.24
04-09-14,15.47
03-09-14,8.05
02-09-14,7.28
01-09-14,8.72

