Datum Zeit,Chemnitz-Leipziger Str. PM2.5
,µg/m³
30-09-14,17.41
29-09-14,14.98
28-09-14,13.89
27-09-14,13.77
26-09-14,14.63
25-09-14,13.26
24-09-14,14.33
23-09-14,9.44
22-09-14,10.93
21-09-14,11.17
20-09-14,12.00
19-09-14,16.91
18-09-14,19.01
17-09-14,15.78
16-09-14,20.59
15-09-14,24.14
14-09-14,9.67
13-09-14,11.25
12-09-14,13.55
11-09-14,14.47
10-09-14,16.67
09-09-14,24.32
08-09-14,28.72
07-09-14,15.16
06-09-14,25.59
05-09-14,23.33
04-09-14,19.88
03-09-14,14.37
02-09-14,12.34
01-09-14,12.45

