Datum Zeit,Annaberg-Buchholz PM2.5
,µg/m³
30-09-14,13.65
29-09-14,11.46
28-09-14,12.10
27-09-14,10.33
26-09-14,7.68
25-09-14,10.96
24-09-14,11.57
23-09-14,6.61
22-09-14,8.19
21-09-14,6.78
20-09-14,7.64
19-09-14,13.86
18-09-14,18.01
17-09-14,14.01
16-09-14,18.32
15-09-14,15.38
14-09-14,7.42
13-09-14,10.03
12-09-14,5.96
11-09-14,13.89
10-09-14,15.29
09-09-14,21.26
08-09-14,16.45
07-09-14,11.97
06-09-14,17.46
05-09-14,23.78
04-09-14,21.29
03-09-14,13.32
02-09-14,10.64
01-09-14,8.34

