Datum Zeit,Collmberg PM2.5
,µg/m³
30-09-14,10.58
29-09-14,8.44
28-09-14,8.56
27-09-14,4.92
26-09-14,7.29
25-09-14,8.39
24-09-14,7.01
23-09-14,4.74
22-09-14,6.81
21-09-14,6.74
20-09-14,10.18
19-09-14,15.32
18-09-14,14.77
17-09-14,14.44
16-09-14,22.09
15-09-14,22.33
14-09-14,2.06
13-09-14,2.95
12-09-14,4.69
11-09-14,5.81
10-09-14,8.70
09-09-14,11.37
08-09-14,16.96
07-09-14,15.92
06-09-14,19.15
05-09-14,17.86
04-09-14,12.39
03-09-14,7.74
02-09-14,6.84
01-09-14,4.62

