Datum Zeit,Dresden-Bergstraße PM10_HVS
,µg/m³
31-10-17,
30-10-17,
29-10-17,
28-10-17,
27-10-17,
26-10-17,
25-10-17,
24-10-17,
23-10-17,
22-10-17,
21-10-17,
20-10-17,
19-10-17,
18-10-17,
17-10-17,35.37
16-10-17,28.54
15-10-17,21.22
14-10-17,20.47
13-10-17,19.15
12-10-17,13.74
11-10-17,12.95
10-10-17,11.91
09-10-17,15.76
08-10-17,7.71
07-10-17,10.14
06-10-17,10.95
05-10-17,10.54
04-10-17,13.84
03-10-17,8.82
02-10-17,20.29
01-10-17,15.52

