Datum Zeit,Leipzig-West PM10_HVS
,µg/m³
31-10-17,
30-10-17,
29-10-17,
28-10-17,
27-10-17,
26-10-17,
25-10-17,
24-10-17,
23-10-17,
22-10-17,
21-10-17,
20-10-17,
19-10-17,
18-10-17,
17-10-17,27.47
16-10-17,21.89
15-10-17,14.46
14-10-17,13.92
13-10-17,14.37
12-10-17,10.69
11-10-17,7.36
10-10-17,9.45
09-10-17,9.26
08-10-17,6.16
07-10-17,9.68
06-10-17,6.23
05-10-17,8.13
04-10-17,11.07
03-10-17,8.49
02-10-17,8.16
01-10-17,9.76

