Datum Zeit,Schwartenberg PM10_HVS
,µg/m³
31-10-17,
30-10-17,
29-10-17,
28-10-17,
27-10-17,
26-10-17,
25-10-17,
24-10-17,
23-10-17,
22-10-17,
21-10-17,
20-10-17,
19-10-17,
18-10-17,
17-10-17,33.52
16-10-17,17.53
15-10-17,15.21
14-10-17,7.73
13-10-17,10.78
12-10-17,7.98
11-10-17,5.72
10-10-17,4.76
09-10-17,4.69
08-10-17,1.80
07-10-17,4.06
06-10-17,3.67
05-10-17,5.35
04-10-17,7.31
03-10-17,3.62
02-10-17,11.53
01-10-17,21.80

