Datum Zeit,Zittau-Ost PM10_HVS
,µg/m³
30-06-18,
29-06-18,
28-06-18,
27-06-18,
26-06-18,
25-06-18,
24-06-18,
23-06-18,
22-06-18,
21-06-18,
20-06-18,
19-06-18,
18-06-18,15.27
17-06-18,17.84
16-06-18,25.30
15-06-18,18.98
14-06-18,10.91
13-06-18,11.69
12-06-18,15.63
11-06-18,19.24
10-06-18,19.77
09-06-18,23.22
08-06-18,18.77
07-06-18,27.53
06-06-18,23.17
05-06-18,21.13
04-06-18,16.08
03-06-18,10.71
02-06-18,12.85
01-06-18,23.61

