Datum Zeit,Leipzig-Mitte PM10_HVS
,µg/m³
30-06-18,
29-06-18,
28-06-18,
27-06-18,
26-06-18,
25-06-18,
24-06-18,
23-06-18,
22-06-18,
21-06-18,
20-06-18,
19-06-18,
18-06-18,18.77
17-06-18,20.20
16-06-18,
15-06-18,28.90
14-06-18,19.27
13-06-18,
12-06-18,17.80
11-06-18,22.01
10-06-18,
09-06-18,24.96
08-06-18,23.83
07-06-18,
06-06-18,22.13
05-06-18,27.59
04-06-18,
03-06-18,17.78
02-06-18,18.57
01-06-18,

