Datum Zeit,Plauen-Sued PM10_HVS
,µg/m³
30-06-18,
29-06-18,
28-06-18,
27-06-18,
26-06-18,
25-06-18,
24-06-18,
23-06-18,
22-06-18,
21-06-18,
20-06-18,
19-06-18,
18-06-18,10.85
17-06-18,15.39
16-06-18,21.13
15-06-18,16.82
14-06-18,10.92
13-06-18,11.08
12-06-18,22.14
11-06-18,33.41
10-06-18,19.03
09-06-18,21.50
08-06-18,19.18
07-06-18,17.98
06-06-18,
05-06-18,28.65
04-06-18,15.95
03-06-18,11.58
02-06-18,8.86
01-06-18,13.51

