Datum Zeit,Leipzig-Thekla O3
,µg/m³
01-02-09 00:00,45
31-01-09 23:00,50
31-01-09 22:00,51
31-01-09 21:00,50
31-01-09 20:00,42
31-01-09 19:00,39
31-01-09 18:00,39
31-01-09 17:00,44
31-01-09 16:00,46
31-01-09 15:00,50
31-01-09 14:00,43
31-01-09 13:00,37
31-01-09 12:00,32
31-01-09 11:00,24
31-01-09 10:00,18
31-01-09 09:00,12
31-01-09 08:00,12
31-01-09 07:00,13
31-01-09 06:00,12
31-01-09 05:00,9
31-01-09 04:00,5
31-01-09 03:00,2
31-01-09 02:00,1
31-01-09 01:00,1
31-01-09 00:00,1
30-01-09 23:00,1
30-01-09 22:00,4
30-01-09 21:00,8
30-01-09 20:00,15
30-01-09 19:00,20
30-01-09 18:00,26
30-01-09 17:00,30
30-01-09 16:00,36
30-01-09 15:00,37
30-01-09 14:00,39
30-01-09 13:00,43
30-01-09 12:00,42
30-01-09 11:00,34
30-01-09 10:00,29
30-01-09 09:00,34
30-01-09 08:00,34
30-01-09 07:00,33
30-01-09 06:00,23
30-01-09 05:00,24
30-01-09 04:00,23
30-01-09 03:00,25
30-01-09 02:00,27
30-01-09 01:00,33
30-01-09 00:00,33
29-01-09 23:00,37
29-01-09 22:00,37
29-01-09 21:00,37
29-01-09 20:00,29
29-01-09 19:00,27
29-01-09 18:00,25
29-01-09 17:00,27
29-01-09 16:00,26
29-01-09 15:00,29
29-01-09 14:00,28
29-01-09 13:00,25
29-01-09 12:00,18
29-01-09 11:00,13
29-01-09 10:00,11
29-01-09 09:00,7
29-01-09 08:00,9
29-01-09 07:00,15
29-01-09 06:00,19
29-01-09 05:00,24
29-01-09 04:00,27
29-01-09 03:00,27
29-01-09 02:00,28
29-01-09 01:00,32
29-01-09 00:00,29
28-01-09 23:00,31
28-01-09 22:00,25
28-01-09 21:00,10
28-01-09 20:00,9
28-01-09 19:00,19
28-01-09 18:00,31
28-01-09 17:00,29
28-01-09 16:00,28
28-01-09 15:00,30
28-01-09 14:00,31
28-01-09 13:00,32
28-01-09 12:00,29
28-01-09 11:00,32
28-01-09 10:00,29
28-01-09 09:00,31
28-01-09 08:00,25
28-01-09 07:00,16
28-01-09 06:00,8
28-01-09 05:00,6
28-01-09 04:00,11
28-01-09 03:00,12
28-01-09 02:00,6
28-01-09 01:00,1
28-01-09 00:00,1
27-01-09 23:00,1
27-01-09 22:00,2
27-01-09 21:00,3
27-01-09 20:00,5
27-01-09 19:00,7
27-01-09 18:00,8
27-01-09 17:00,7
27-01-09 16:00,11
27-01-09 15:00,11
27-01-09 14:00,12
27-01-09 13:00,12
27-01-09 12:00,12
27-01-09 11:00,14
27-01-09 10:00,10
27-01-09 09:00,9
27-01-09 08:00,10
27-01-09 07:00,13
27-01-09 06:00,13
27-01-09 05:00,14
27-01-09 04:00,15
27-01-09 03:00,15
27-01-09 02:00,15
27-01-09 01:00,16
27-01-09 00:00,17
26-01-09 23:00,23
26-01-09 22:00,26
26-01-09 21:00,28
26-01-09 20:00,27
26-01-09 19:00,25
26-01-09 18:00,27
26-01-09 17:00,26
26-01-09 16:00,32
26-01-09 15:00,29
26-01-09 14:00,28
26-01-09 13:00,26
26-01-09 12:00,25
26-01-09 11:00,18
26-01-09 10:00,13
26-01-09 09:00,6
26-01-09 08:00,4
26-01-09 07:00,1
26-01-09 06:00,1
26-01-09 05:00,1
26-01-09 04:00,1
26-01-09 03:00,1
26-01-09 02:00,1
26-01-09 01:00,1
26-01-09 00:00,1
25-01-09 23:00,1
25-01-09 22:00,1
25-01-09 21:00,1
25-01-09 20:00,2
25-01-09 19:00,5
25-01-09 18:00,17
25-01-09 17:00,39
25-01-09 16:00,53
25-01-09 15:00,47
25-01-09 14:00,41
25-01-09 13:00,26
25-01-09 12:00,20
25-01-09 11:00,14
25-01-09 10:00,3
25-01-09 09:00,1
25-01-09 08:00,1
25-01-09 07:00,3
25-01-09 06:00,7
25-01-09 05:00,14
25-01-09 04:00,16
25-01-09 03:00,19
25-01-09 02:00,22
25-01-09 01:00,21
25-01-09 00:00,13
24-01-09 23:00,9
24-01-09 22:00,3
24-01-09 21:00,1
24-01-09 20:00,1
24-01-09 19:00,1
24-01-09 18:00,5
24-01-09 17:00,27
24-01-09 16:00,44
24-01-09 15:00,51
24-01-09 14:00,52
24-01-09 13:00,47
24-01-09 12:00,37
24-01-09 11:00,33
24-01-09 10:00,38
24-01-09 09:00,42
24-01-09 08:00,43
24-01-09 07:00,45
24-01-09 06:00,43
24-01-09 05:00,35
24-01-09 04:00,27
24-01-09 03:00,27
24-01-09 02:00,27
24-01-09 01:00,25
24-01-09 00:00,23
23-01-09 23:00,32
23-01-09 22:00,37
