Datum Zeit,Dresden-Winckelmannstr. PM2.5
,µg/m³
31-01-09,20.77
30-01-09,23.40
29-01-09,30.60
28-01-09,47.99
27-01-09,66.00
26-01-09,49.60
25-01-09,26.13
24-01-09,11.84
23-01-09,18.62
22-01-09,28.23
21-01-09,35.93
20-01-09,22.53
19-01-09,9.79
18-01-09,41.63
17-01-09,47.16
16-01-09,38.24
15-01-09,94.97
14-01-09,69.26
13-01-09,52.88
12-01-09,59.88
11-01-09,41.06
10-01-09,57.68
09-01-09,43.38
08-01-09,32.02
07-01-09,48.07
06-01-09,71.79
05-01-09,29.00
04-01-09,7.97
03-01-09,15.85
02-01-09,41.81
01-01-09,67.58

