Datum Zeit,Radebeul-Wahnsdorf PM2.5
,µg/m³
31-01-09,13.25
30-01-09,18.66
29-01-09,25.56
28-01-09,34.67
27-01-09,46.39
26-01-09,42.36
25-01-09,20.29
24-01-09,8.81
23-01-09,16.89
22-01-09,22.73
21-01-09,26.65
20-01-09,19.61
19-01-09,8.57
18-01-09,30.20
17-01-09,42.90
16-01-09,21.86
15-01-09,40.06
14-01-09,62.24
13-01-09,48.80
12-01-09,54.78
11-01-09,37.77
10-01-09,48.76
09-01-09,40.14
08-01-09,30.10
07-01-09,37.37
06-01-09,65.32
05-01-09,27.16
04-01-09,14.68
03-01-09,17.67
02-01-09,39.80
01-01-09,67.84

