Datum Zeit,Schkeuditz NO2
,µg/m³
01-02-09 00:00,9
31-01-09 23:00,8
31-01-09 22:00,9
31-01-09 21:00,8
31-01-09 20:00,9
31-01-09 19:00,13
31-01-09 18:00,13
31-01-09 17:00,11
31-01-09 16:00,11
31-01-09 15:00,10
31-01-09 14:00,8
31-01-09 13:00,10
31-01-09 12:00,10
31-01-09 11:00,13
31-01-09 10:00,14
31-01-09 09:00,17
31-01-09 08:00,20
31-01-09 07:00,21
31-01-09 06:00,22
31-01-09 05:00,25
31-01-09 04:00,27
31-01-09 03:00,30
31-01-09 02:00,34
31-01-09 01:00,36
31-01-09 00:00,37
30-01-09 23:00,34
30-01-09 22:00,29
30-01-09 21:00,29
30-01-09 20:00,32
30-01-09 19:00,25
30-01-09 18:00,22
30-01-09 17:00,16
30-01-09 16:00,13
30-01-09 15:00,13
30-01-09 14:00,17
30-01-09 13:00,15
30-01-09 12:00,15
30-01-09 11:00,17
30-01-09 10:00,17
30-01-09 09:00,15
30-01-09 08:00,13
30-01-09 07:00,19
30-01-09 06:00,16
30-01-09 05:00,15
30-01-09 04:00,14
30-01-09 03:00,14
30-01-09 02:00,13
30-01-09 01:00,14
30-01-09 00:00,14
29-01-09 23:00,12
29-01-09 22:00,11
29-01-09 21:00,16
29-01-09 20:00,16
29-01-09 19:00,16
29-01-09 18:00,16
29-01-09 17:00,16
29-01-09 16:00,14
29-01-09 15:00,13
29-01-09 14:00,15
29-01-09 13:00,17
29-01-09 12:00,18
29-01-09 11:00,20
29-01-09 10:00,23
29-01-09 09:00,34
29-01-09 08:00,29
29-01-09 07:00,33
29-01-09 06:00,31
29-01-09 05:00,29
29-01-09 04:00,19
29-01-09 03:00,20
29-01-09 02:00,19
29-01-09 01:00,19
29-01-09 00:00,16
28-01-09 23:00,16
28-01-09 22:00,21
28-01-09 21:00,28
28-01-09 20:00,34
28-01-09 19:00,24
28-01-09 18:00,18
28-01-09 17:00,29
28-01-09 16:00,28
28-01-09 15:00,21
28-01-09 14:00,20
28-01-09 13:00,18
28-01-09 12:00,16
28-01-09 11:00,15
28-01-09 10:00,19
28-01-09 09:00,17
28-01-09 08:00,21
28-01-09 07:00,23
28-01-09 06:00,32
28-01-09 05:00,37
28-01-09 04:00,34
28-01-09 03:00,35
28-01-09 02:00,33
28-01-09 01:00,38
28-01-09 00:00,37
27-01-09 23:00,35
27-01-09 22:00,36
27-01-09 21:00,32
27-01-09 20:00,28
27-01-09 19:00,36
27-01-09 18:00,39
27-01-09 17:00,32
27-01-09 16:00,25
27-01-09 15:00,24
27-01-09 14:00,22
27-01-09 13:00,19
27-01-09 12:00,19
27-01-09 11:00,20
27-01-09 10:00,22
27-01-09 09:00,31
27-01-09 08:00,29
27-01-09 07:00,26
27-01-09 06:00,22
27-01-09 05:00,21
27-01-09 04:00,19
27-01-09 03:00,22
27-01-09 02:00,25
27-01-09 01:00,25
27-01-09 00:00,31
26-01-09 23:00,28
26-01-09 22:00,24
26-01-09 21:00,25
26-01-09 20:00,25
26-01-09 19:00,30
26-01-09 18:00,30
26-01-09 17:00,29
26-01-09 16:00,23
26-01-09 15:00,20
26-01-09 14:00,18
26-01-09 13:00,17
26-01-09 12:00,17
26-01-09 11:00,20
26-01-09 10:00,27
26-01-09 09:00,30
26-01-09 08:00,36
26-01-09 07:00,34
26-01-09 06:00,35
26-01-09 05:00,37
26-01-09 04:00,35
26-01-09 03:00,34
26-01-09 02:00,36
26-01-09 01:00,32
26-01-09 00:00,34
25-01-09 23:00,29
25-01-09 22:00,36
25-01-09 21:00,28
25-01-09 20:00,35
25-01-09 19:00,32
25-01-09 18:00,25
25-01-09 17:00,18
25-01-09 16:00,22
25-01-09 15:00,16
25-01-09 14:00,16
25-01-09 13:00,13
25-01-09 12:00,15
25-01-09 11:00,17
25-01-09 10:00,22
25-01-09 09:00,24
25-01-09 08:00,29
25-01-09 07:00,26
25-01-09 06:00,20
25-01-09 05:00,19
25-01-09 04:00,17
25-01-09 03:00,16
25-01-09 02:00,18
25-01-09 01:00,21
25-01-09 00:00,28
24-01-09 23:00,39
24-01-09 22:00,33
24-01-09 21:00,35
24-01-09 20:00,41
24-01-09 19:00,34
24-01-09 18:00,30
24-01-09 17:00,26
24-01-09 16:00,22
24-01-09 15:00,15
24-01-09 14:00,14
24-01-09 13:00,13
24-01-09 12:00,21
24-01-09 11:00,15
24-01-09 10:00,14
24-01-09 09:00,13
24-01-09 08:00,15
24-01-09 07:00,15
24-01-09 06:00,15
24-01-09 05:00,16
24-01-09 04:00,22
24-01-09 03:00,23
24-01-09 02:00,24
24-01-09 01:00,24
24-01-09 00:00,23
23-01-09 23:00,21
23-01-09 22:00,23
23-01-09 21:00,18
23-01-09 20:00,17
23-01-09 19:00,15
23-01-09 18:00,23
23-01-09 17:00,39
23-01-09 16:00,37
23-01-09 15:00,37
23-01-09 14:00,31
23-01-09 13:00,25
23-01-09 12:00,27
23-01-09 11:00,36
23-01-09 10:00,32
23-01-09 09:00,36
23-01-09 08:00,31
23-01-09 07:00,22
23-01-09 06:00,17
23-01-09 05:00,15
23-01-09 04:00,15
23-01-09 03:00,13
23-01-09 02:00,13
23-01-09 01:00,14
23-01-09 00:00,13
22-01-09 23:00,15
22-01-09 22:00,15
22-01-09 21:00,17
22-01-09 20:00,17
22-01-09 19:00,16
22-01-09 18:00,21
22-01-09 17:00,20
22-01-09 16:00,19
22-01-09 15:00,17
22-01-09 14:00,17
22-01-09 13:00,18
22-01-09 12:00,20
22-01-09 11:00,20
22-01-09 10:00,32
22-01-09 09:00,40
22-01-09 08:00,41
22-01-09 07:00,44
22-01-09 06:00,44
22-01-09 05:00,47
22-01-09 04:00,49
22-01-09 03:00,46
22-01-09 02:00,43
22-01-09 01:00,44
22-01-09 00:00,48
21-01-09 23:00,53
21-01-09 22:00,56
21-01-09 21:00,61
21-01-09 20:00,59
21-01-09 19:00,58
21-01-09 18:00,55
21-01-09 17:00,53
21-01-09 16:00,53
21-01-09 15:00,52
21-01-09 14:00,52
21-01-09 13:00,55
21-01-09 12:00,56
21-01-09 11:00,50
21-01-09 10:00,47
21-01-09 09:00,47
21-01-09 08:00,48
21-01-09 07:00,41
21-01-09 06:00,44
21-01-09 05:00,47
21-01-09 04:00,47
21-01-09 03:00,49
21-01-09 02:00,52
21-01-09 01:00,56
21-01-09 00:00,55
20-01-09 23:00,62
20-01-09 22:00,67
20-01-09 21:00,70
20-01-09 20:00,71
20-01-09 19:00,67
20-01-09 18:00,49
20-01-09 17:00,38
20-01-09 16:00,29
20-01-09 15:00,27
20-01-09 14:00,22
20-01-09 13:00,36
20-01-09 12:00,34
20-01-09 11:00,26
20-01-09 10:00,31
20-01-09 09:00,40
20-01-09 08:00,28
20-01-09 07:00,18
20-01-09 06:00,14
20-01-09 05:00,14
20-01-09 04:00,15
20-01-09 03:00,14
20-01-09 02:00,15
20-01-09 01:00,17
20-01-09 00:00,15
19-01-09 23:00,15
19-01-09 22:00,14
19-01-09 21:00,15
19-01-09 20:00,12
19-01-09 19:00,12
19-01-09 18:00,26
19-01-09 17:00,29
19-01-09 16:00,18
19-01-09 15:00,16
19-01-09 14:00,20
19-01-09 13:00,24
19-01-09 12:00,16
19-01-09 11:00,16
19-01-09 10:00,21
19-01-09 09:00,21
19-01-09 08:00,21
19-01-09 07:00,20
19-01-09 06:00,18
19-01-09 05:00,15
19-01-09 04:00,12
19-01-09 03:00,12
19-01-09 02:00,11
19-01-09 01:00,11
19-01-09 00:00,11
18-01-09 23:00,13
18-01-09 22:00,13
18-01-09 21:00,17
18-01-09 20:00,21
18-01-09 19:00,16
18-01-09 18:00,16
18-01-09 17:00,15
18-01-09 16:00,16
18-01-09 15:00,19
18-01-09 14:00,16
18-01-09 13:00,15
18-01-09 12:00,14
18-01-09 11:00,14
18-01-09 10:00,14
18-01-09 09:00,16
18-01-09 08:00,18
18-01-09 07:00,23
18-01-09 06:00,28
18-01-09 05:00,32
18-01-09 04:00,30
18-01-09 03:00,29
18-01-09 02:00,29
18-01-09 01:00,26
18-01-09 00:00,26
17-01-09 23:00,26
17-01-09 22:00,26
17-01-09 21:00,28
17-01-09 20:00,36
17-01-09 19:00,40
17-01-09 18:00,53
17-01-09 17:00,46
17-01-09 16:00,37
17-01-09 15:00,38
17-01-09 14:00,34
17-01-09 13:00,37
17-01-09 12:00,32
17-01-09 11:00,29
17-01-09 10:00,28
17-01-09 09:00,30
17-01-09 08:00,28
17-01-09 07:00,23
