Datum Zeit,Dresden-Bergstraße NO2
,µg/m³
01-02-09 00:00,35
31-01-09 23:00,44
31-01-09 22:00,50
31-01-09 21:00,56
31-01-09 20:00,61
31-01-09 19:00,69
31-01-09 18:00,90
31-01-09 17:00,94
31-01-09 16:00,88
31-01-09 15:00,52
31-01-09 14:00,59
31-01-09 13:00,62
31-01-09 12:00,60
31-01-09 11:00,59
31-01-09 10:00,49
31-01-09 09:00,52
31-01-09 08:00,59
31-01-09 07:00,37
31-01-09 06:00,38
31-01-09 05:00,26
31-01-09 04:00,26
31-01-09 03:00,28
31-01-09 02:00,31
31-01-09 01:00,37
31-01-09 00:00,38
30-01-09 23:00,45
30-01-09 22:00,71
30-01-09 21:00,67
30-01-09 20:00,85
30-01-09 19:00,101
30-01-09 18:00,110
30-01-09 17:00,96
30-01-09 16:00,94
30-01-09 15:00,81
30-01-09 14:00,98
30-01-09 13:00,82
30-01-09 12:00,73
30-01-09 11:00,61
30-01-09 10:00,70
30-01-09 09:00,83
30-01-09 08:00,68
30-01-09 07:00,49
30-01-09 06:00,33
30-01-09 05:00,20
30-01-09 04:00,16
30-01-09 03:00,15
30-01-09 02:00,16
30-01-09 01:00,18
30-01-09 00:00,21
29-01-09 23:00,33
29-01-09 22:00,42
29-01-09 21:00,42
29-01-09 20:00,61
29-01-09 19:00,85
29-01-09 18:00,98
29-01-09 17:00,78
29-01-09 16:00,75
29-01-09 15:00,55
29-01-09 14:00,68
29-01-09 13:00,51
29-01-09 12:00,49
29-01-09 11:00,62
29-01-09 10:00,81
29-01-09 09:00,82
29-01-09 08:00,76
29-01-09 07:00,54
29-01-09 06:00,42
29-01-09 05:00,36
29-01-09 04:00,32
29-01-09 03:00,30
29-01-09 02:00,33
29-01-09 01:00,40
29-01-09 00:00,43
28-01-09 23:00,58
28-01-09 22:00,61
28-01-09 21:00,79
28-01-09 20:00,103
28-01-09 19:00,135
28-01-09 18:00,123
28-01-09 17:00,115
28-01-09 16:00,93
28-01-09 15:00,76
28-01-09 14:00,74
28-01-09 13:00,75
28-01-09 12:00,80
28-01-09 11:00,80
28-01-09 10:00,67
28-01-09 09:00,81
28-01-09 08:00,82
28-01-09 07:00,54
28-01-09 06:00,38
28-01-09 05:00,31
28-01-09 04:00,33
28-01-09 03:00,31
28-01-09 02:00,31
28-01-09 01:00,32
28-01-09 00:00,41
27-01-09 23:00,52
27-01-09 22:00,66
27-01-09 21:00,64
27-01-09 20:00,71
27-01-09 19:00,96
27-01-09 18:00,107
27-01-09 17:00,108
27-01-09 16:00,98
27-01-09 15:00,84
27-01-09 14:00,77
27-01-09 13:00,87
27-01-09 12:00,65
27-01-09 11:00,57
27-01-09 10:00,76
27-01-09 09:00,76
27-01-09 08:00,86
27-01-09 07:00,57
27-01-09 06:00,45
27-01-09 05:00,51
27-01-09 04:00,45
27-01-09 03:00,41
27-01-09 02:00,48
27-01-09 01:00,42
27-01-09 00:00,51
26-01-09 23:00,67
26-01-09 22:00,61
26-01-09 21:00,69
26-01-09 20:00,88
26-01-09 19:00,101
26-01-09 18:00,135
26-01-09 17:00,145
26-01-09 16:00,108
26-01-09 15:00,116
26-01-09 14:00,105
26-01-09 13:00,88
26-01-09 12:00,78
26-01-09 11:00,98
26-01-09 10:00,99
26-01-09 09:00,98
26-01-09 08:00,75
26-01-09 07:00,82
26-01-09 06:00,75
26-01-09 05:00,51
26-01-09 04:00,43
26-01-09 03:00,47
26-01-09 02:00,39
26-01-09 01:00,33
26-01-09 00:00,37
25-01-09 23:00,42
25-01-09 22:00,50
25-01-09 21:00,60
25-01-09 20:00,103
25-01-09 19:00,109
25-01-09 18:00,108
25-01-09 17:00,78
25-01-09 16:00,47
25-01-09 15:00,50
25-01-09 14:00,47
25-01-09 13:00,62
25-01-09 12:00,81
25-01-09 11:00,79
25-01-09 10:00,61
25-01-09 09:00,40
25-01-09 08:00,35
25-01-09 07:00,32
25-01-09 06:00,34
25-01-09 05:00,32
25-01-09 04:00,44
25-01-09 03:00,53
25-01-09 02:00,65
25-01-09 01:00,84
25-01-09 00:00,86
24-01-09 23:00,120
24-01-09 22:00,100
24-01-09 21:00,116
24-01-09 20:00,128
24-01-09 19:00,156
24-01-09 18:00,141
24-01-09 17:00,125
24-01-09 16:00,72
24-01-09 15:00,65
24-01-09 14:00,51
24-01-09 13:00,55
24-01-09 12:00,65
24-01-09 11:00,63
24-01-09 10:00,53
24-01-09 09:00,38
24-01-09 08:00,33
24-01-09 07:00,23
24-01-09 06:00,26
24-01-09 05:00,17
24-01-09 04:00,20
24-01-09 03:00,25
24-01-09 02:00,24
24-01-09 01:00,27
24-01-09 00:00,35
23-01-09 23:00,45
23-01-09 22:00,57
23-01-09 21:00,49
23-01-09 20:00,42
23-01-09 19:00,47
23-01-09 18:00,46
23-01-09 17:00,51
23-01-09 16:00,49
23-01-09 15:00,40
23-01-09 14:00,42
23-01-09 13:00,41
23-01-09 12:00,36
23-01-09 11:00,37
23-01-09 10:00,37
23-01-09 09:00,36
23-01-09 08:00,44
23-01-09 07:00,35
23-01-09 06:00,27
23-01-09 05:00,33
23-01-09 04:00,35
23-01-09 03:00,32
23-01-09 02:00,28
23-01-09 01:00,30
23-01-09 00:00,35
22-01-09 23:00,45
22-01-09 22:00,54
22-01-09 21:00,61
22-01-09 20:00,72
22-01-09 19:00,88
22-01-09 18:00,96
22-01-09 17:00,91
22-01-09 16:00,109
22-01-09 15:00,88
22-01-09 14:00,62
22-01-09 13:00,71
22-01-09 12:00,79
22-01-09 11:00,89
22-01-09 10:00,86
22-01-09 09:00,115
22-01-09 08:00,121
22-01-09 07:00,83
22-01-09 06:00,65
22-01-09 05:00,50
22-01-09 04:00,46
22-01-09 03:00,51
22-01-09 02:00,50
22-01-09 01:00,64
22-01-09 00:00,82
21-01-09 23:00,99
21-01-09 22:00,106
21-01-09 21:00,114
21-01-09 20:00,163
21-01-09 19:00,175
21-01-09 18:00,175
21-01-09 17:00,150
21-01-09 16:00,147
21-01-09 15:00,101
21-01-09 14:00,145
21-01-09 13:00,146
21-01-09 12:00,103
21-01-09 11:00,85
21-01-09 10:00,107
21-01-09 09:00,93
21-01-09 08:00,122
21-01-09 07:00,86
21-01-09 06:00,64
21-01-09 05:00,49
21-01-09 04:00,41
21-01-09 03:00,42
21-01-09 02:00,52
21-01-09 01:00,52
21-01-09 00:00,52
20-01-09 23:00,65
20-01-09 22:00,61
20-01-09 21:00,69
20-01-09 20:00,95
20-01-09 19:00,126
20-01-09 18:00,123
20-01-09 17:00,131
20-01-09 16:00,118
20-01-09 15:00,97
20-01-09 14:00,106
20-01-09 13:00,88
20-01-09 12:00,54
20-01-09 11:00,57
20-01-09 10:00,55
20-01-09 09:00,67
20-01-09 08:00,66
20-01-09 07:00,54
20-01-09 06:00,33
20-01-09 05:00,28
20-01-09 04:00,23
20-01-09 03:00,22
20-01-09 02:00,30
20-01-09 01:00,30
20-01-09 00:00,34
19-01-09 23:00,31
19-01-09 22:00,31
19-01-09 21:00,35
19-01-09 20:00,54
19-01-09 19:00,53
19-01-09 18:00,60
19-01-09 17:00,66
19-01-09 16:00,71
19-01-09 15:00,61
19-01-09 14:00,50
19-01-09 13:00,54
19-01-09 12:00,63
19-01-09 11:00,63
19-01-09 10:00,98
19-01-09 09:00,113
19-01-09 08:00,118
19-01-09 07:00,64
19-01-09 06:00,46
19-01-09 05:00,28
19-01-09 04:00,18
19-01-09 03:00,12
19-01-09 02:00,15
19-01-09 01:00,17
19-01-09 00:00,23
18-01-09 23:00,30
18-01-09 22:00,38
18-01-09 21:00,49
18-01-09 20:00,48
18-01-09 19:00,70
18-01-09 18:00,73
18-01-09 17:00,52
18-01-09 16:00,52
18-01-09 15:00,45
18-01-09 14:00,40
18-01-09 13:00,45
18-01-09 12:00,46
18-01-09 11:00,55
18-01-09 10:00,46
18-01-09 09:00,52
18-01-09 08:00,50
18-01-09 07:00,50
18-01-09 06:00,51
18-01-09 05:00,49
18-01-09 04:00,51
18-01-09 03:00,55
18-01-09 02:00,55
18-01-09 01:00,57
18-01-09 00:00,59
17-01-09 23:00,62
17-01-09 22:00,62
17-01-09 21:00,62
17-01-09 20:00,67
17-01-09 19:00,62
17-01-09 18:00,65
17-01-09 17:00,60
17-01-09 16:00,58
17-01-09 15:00,51
17-01-09 14:00,54
17-01-09 13:00,51
17-01-09 12:00,52
17-01-09 11:00,42
17-01-09 10:00,48
17-01-09 09:00,51
17-01-09 08:00,49
17-01-09 07:00,48
17-01-09 06:00,45
17-01-09 05:00,42
17-01-09 04:00,39
17-01-09 03:00,44
17-01-09 02:00,55
17-01-09 01:00,64
17-01-09 00:00,58
